INF.,FECHA,CASOS CONFIRMADOS,CASOS NUEVOS,FALLECIDOS,CASOS CONFIRMADOS,CASOS NUEVOS
346,07/02/2021,16335,59,280,12990,43
345,06/02/2021,16276,63,280,12947,40
344,05/02/2021,16213,58,279,12907,45
343,04/02/2021,16155,59,278,12862,41
342,03/02/2021,16096,43,278,12821,27
341,02/02/2021,16053,28,277,12794,26
340,01/02/2021,16025,27,267,12768,26
339,31/01/2021,15998,172,267,12742,131
338,30/01/2021,15826,107,267,12611,64
337,29/01/2021,15719,61,263,12547,38
336,28/01/2021,15658,84,261,12509,63
335,27/01/2021,15574,129,257,12446,118
334,26/01/2021,15445,62,251,12328,62
333,25/01/2021,15383,46,249,12266,22
332,24/01/2021,15337,79,249,12244,54
331,23/01/2021,15258,97,249,12190,76
330,22/01/2021,15161,53,249,12114,47
329,21/01/2021,15108,112,247,12067,80
328,20/01/2021,14996,149,245,11987,117
327,19/01/2021,14847,84,245,11870,78
326,18/01/2021,14763,26,228,11792,11
325,17/01/2021,14737,56,228,11781,35
324,16/01/2021,14681,180,228,11746,145
323,15/01/2021,14501,46,227,11601,42
322,14/01/2021,14455,92,226,11559,59
321,13/01/2021,14363,121,226,11500,83
320,12/01/2021,14242,47,226,11417,44
319,11/01/2021,14195,31,226,11373,24
318,10/01/2021,14164,55,226,11349,28
317,09/01/2021,14109,45,226,11321,32
316,08/01/2021,14064,33,226,11289,28
315,07/01/2021,14031,88,226,11261,62
314,06/01/2021,13943,88,225,11199,63
313,05/01/2021,13855,53,225,11136,48
312,04/01/2021,13802,33,222,11088,23
311,03/01/2021,13769,28,222,11065,28
310,02/01/2021,13741,136,222,11037,101
309,01/01/2021,13605,48,222,10936,43
308,31/12/2020,13557,35,222,10893,33
307,30/12/2020,13522,48,222,10860,41
306,29/12/2020,13474,73,222,10819,66
305,28/12/2020,13401,10,222,10753,10
304,27/12/2020,13391,12,222,10743,12
303,26/12/2020,13379,52,222,10731,37
302,25/12/2020,13327,40,222,10694,35
301,24/12/2020,13287,75,222,10659,73
300,23/12/2020,13212,99,221,10586,95
299,22/12/2020,13113,0,220,10491,0
298,21/12/2020,13113,7,220,10491,7
297,20/12/2020,13106,44,220,10484,29
296,19/12/2020,13062,71,220,10455,66
295,18/12/2020,12991,101,220,10389,78
294,17/12/2020,12890,55,220,10311,53
293,16/12/2020,12835,132,219,10258,126
292,15/12/2020,12703,33,219,10132,30
291,14/12/2020,12670,15,219,10102,14
290,13/12/2020,12655,71,219,10088,59
