Fecha;Contagiados
25/02/2021;7022
24/02/2021;7000
23/02/2021;6999
22/02/2021;6978
21/02/2021;6955
20/02/2021;6921
19/02/2021;6850
18/02/2021;6821
17/02/2021;6800
16/02/2021;6795
15/02/2021;6790
14/02/2021;6789
13/02/2021;6785
12/02/2021;6781
11/02/2021;6771
10/02/2021;6661
09/02/2021;6579
08/02/2021;6571
07/02/2021;6559
06/02/2021;6551
05/02/2021;6445
04/02/2021;6335
03/02/2021;6330
02/02/2021;6230
01/02/2021;6217
31/01/2021;6212
30/01/2021;6199
29/01/2021;6145
28/01/2021;6050
27/01/2021;6010
26/01/2021;5999
25/01/2021;5989
24/01/2021;5950
23/01/2021;5912
22/01/2021;5869
21/01/2021;5823
20/01/2021;5789
19/01/2021;5741
18/01/2021;5612
17/01/2021;5541
16/01/2021;5489
15/01/2021;5478
14/01/2021;5459
13/01/2021;5455
12/01/2021;5412
11/01/2021;5391
10/01/2021;5389
09/01/2021;5378
08/01/2021;5371
07/01/2021;5369
06/01/2021;5360
05/01/2021;5345
04/01/2021;5320
03/01/2021;5220
02/01/2021;5118
01/01/2021;5117
31/12/2020;5059
30/12/2020;5026
29/12/2020;5001
28/12/2020;4999
27/12/2020;4998
26/12/2020;4971
25/12/2020;4959
24/12/2020;4945
23/12/2020;4915
22/12/2020;4910
21/12/2020;4859
20/12/2020;4836
19/12/2020;4855
18/12/2020;4810
17/12/2020;4789
16/12/2020;4789
15/12/2020;4755
14/12/2020;4710
13/12/2020;4689
12/12/2020;4659
11/12/2020;4628
10/12/2020;4625
09/12/2020;4619
08/12/2020;4612
07/12/2020;4599
06/12/2020;4589
05/12/2020;4578
04/12/2020;4555
03/12/2020;4501
02/12/2020;4499
01/12/2020;4493
30/11/2020;4491
29/11/2020;4489
28/11/2020;4449
27/11/2020;4439
26/11/2020;4425
25/11/2020;4415
24/11/2020;4410
23/11/2020;4389
22/11/2020;4378
21/11/2020;4351
20/11/2020;4345
19/11/2020;4335
18/11/2020;4312
17/11/2020;4300
16/11/2020;4296
15/11/2020;4289
14/11/2020;4236
13/11/2020;4210
12/11/2020;4192
11/11/2020;4189
10/11/2020;4158
09/11/2020;4100
08/11/2020;4050
07/11/2020;4020
06/11/2020;4001
05/11/2020;3999
04/11/2020;3988
03/11/2020;3971
02/11/2020;3969
01/11/2020;3950
31/10/2020;3947
30/10/2020;3935
29/10/2020;3920
28/10/2020;3915
27/10/2020;3912
26/10/2020;3901
25/10/2020;3897
24/10/2020;3891
23/10/2020;3589
22/10/2020;3851
21/10/2020;3849
20/10/2020;3845
19/10/2020;3825
18/10/2020;3815
17/10/2020;3812
16/10/2020;3805
15/10/2020;3801
14/10/2020;3779
13/10/2020;3772
12/10/2020;3762
11/10/2020;3758
10/10/2020;3749
09/10/2020;3735
08/10/2020;3715
07/10/2020;3711
06/10/2020;3699
05/10/2020;3698
04/10/2020;3689
03/10/2020;3675
02/10/1900;3615
01/10/2020;3610
30/09/2020;3595
29/09/2020;3572
28/09/2020;3569
27/09/2020;3562
26/09/2020;3558
25/09/2020;3547
24/09/2020;3510
23/09/2020;3489
22/09/2020;3455
21/09/2020;3410
20/09/2020;3389
19/09/2020;3339
18/09/2020;3225
17/09/2020;3112
16/09/2020;3089
15/09/2020;3039
14/09/2020;3010
13/09/2020;2989
12/09/2020;2910
11/09/2020;2856
10/09/2020;2836
09/09/2020;2810
08/09/2020;2745
07/09/2020;2710
06/09/2020;2698
05/09/2020;2596
04/09/2020;2591
03/09/2020;2589
02/09/2020;2580
01/09/2020;2579
31/08/2020;2570
30/08/2020;2556
29/08/2020;2555
28/08/2020;2545
27/08/2020;2515
26/08/2020;2511
25/08/2020;2510
24/08/2020;2449
23/08/2020;2445
22/08/2020;2410
21/08/2020;2388
20/08/2020;2345
19/08/2020;2314
18/08/2020;2299
17/08/2020;2287
16/08/2020;2256
15/08/2020;2150
14/08/2020;2101
13/08/2020;2001
12/08/2020;1992
11/08/2020;1889
10/08/2020;1789
09/08/2020;1758
08/08/2020;1742
07/08/2020;1645
06/08/2020;1589
05/08/2020;1572
04/08/2020;1569
03/08/2020;1560
02/08/1900;1558
01/08/2020;1555
31/07/2020;1496
30/07/2020;1574
29/07/2020;1560
28/07/2020;1449
27/07/2020;1447
26/07/2020;1445
25/07/2020;1410
24/07/2020;1392
23/07/2020;1389
22/07/2020;1378
21/07/2020;1345
20/07/2020;1354
19/07/2020;1287
18/07/2020;1201
17/07/2020;1145
16/07/2020;1111
15/07/2020;1089
14/07/2020;1045
13/07/2020;1035
12/07/2020;1025
11/07/2020;1011
10/07/2020;991
09/07/2020;895
08/07/2020;880
07/07/2020;871
06/07/2020;859
05/07/2020;850
04/07/2020;845
03/07/2020;810
02/07/1900;745
01/07/2020;736
30/06/2020;736
29/06/2020;736
28/06/2020;736
27/06/2020;736
26/06/2020;736
25/06/2020;736
24/06/2020;732
23/06/2020;730
22/06/2020;725
21/06/2020;720
20/06/2020;716
19/06/2020;715
18/06/2020;712
17/06/2020;701
16/06/2020;699
15/06/2020;689
14/06/2020;670
13/06/2020;615
12/06/2020;610
11/06/2020;549
10/06/2020;547
09/06/2020;512
08/06/2020;510
07/06/2020;495
06/06/2020;490
05/06/2020;489
04/06/2020;425
03/06/2020;415
02/06/2020;410
01/06/2020;409
31/05/2020;380
30/05/2020;380
29/05/2020;380
28/05/2020;380
27/05/2020;380
26/05/2020;380
25/05/2020;380
24/05/2020;380
23/05/2020;380
22/05/2020;380
21/05/2020;380
20/05/2020;380
19/05/2020;380
18/05/2020;380
17/05/2020;380
16/05/2020;378
15/05/2020;359
14/05/2020;354
13/05/2020;350
12/05/2020;330
11/05/2020;315
10/05/2020;312
09/05/2020;301
08/05/2020;299
07/05/2020;291
06/05/2020;289
05/05/2020;278
04/05/2020;245
03/05/2020;210
02/05/1900;201
01/05/2020;159
30/04/2020;143
29/04/2020;143
28/04/2020;143
27/04/2020;143
26/04/2020;142
25/04/2020;141
24/04/2020;140
23/04/2020;139
22/04/2020;135
21/04/2020;130
20/04/2020;130
19/04/2020;126
18/04/2020;125
17/04/2020;120
16/04/2020;115
15/04/2020;112
14/04/2020;111
13/04/2020;102
12/04/2020;96
11/04/2020;95
10/04/2020;91
09/04/2020;89
08/04/2020;82
07/04/2020;81
06/04/2020;78
05/04/2020;74
04/04/2020;45
03/04/2020;11
02/04/2020;10
01/04/2020;9
31/03/2020;9
30/03/2020;9
29/03/2020;9
28/03/2020;9
27/03/2020;9
26/03/2020;9
25/03/2020;8
24/03/2020;8
23/03/2020;8
22/03/2020;7
21/03/2020;7
20/03/2020;5
19/03/2020;5
18/03/2020;4
17/03/2020;1
16/03/2020;1
15/03/2020;1
14/03/2020;1
13/03/2020;1
