Fecha;Contagiados;Muertos;Fallecidos Probables
28/01/2021;5382;246;56
27/01/2021;5363;246;56
26/01/2021;5361;246;56
25/01/2021;5361;246;56
24/01/2021;5361;246;56
23/01/2021;5287;246;56
22/01/2021;5271;246;56
21/01/2021;5253;245;56
20/01/2021;5239;243;55
19/01/2021;5238;243;55
18/01/2021;5235;242;55
17/01/2021;5235;242;55
16/01/2021;5205;242;55
15/01/2021;5193;242;55
14/01/2021;5193;242;55
13/01/2021;5167;242;55
12/01/2021;5140;242;55
11/01/2021;5131;242;55
10/01/2021;5130;242;55
09/01/2021;5107;242;55
08/01/2021;5104;242;55
07/01/2021;5102;242;55
06/01/2021;5084;241;55
05/01/2021;5076;241;55
04/01/2021;5060;241;55
03/01/2021;5060;241;55
02/01/2021;5061;241;55
01/01/2021;5048;241;55
31/12/2020;5044;241;55
30/12/2020;5039;239;54
29/12/2020;5023;239;54
28/12/2020;5021;239;54
27/12/2020;5017;239;54
26/12/2020;5017;239;54
25/12/2020;5017;239;54
24/12/2020;5008;239;54
23/12/2020;5003;237;54
22/12/2020;5001;237;54
21/12/2020;5001;237;54
20/12/2020;5000;237;54
19/12/2020;4996;237;54
18/12/2020;4983;237;54
17/12/2020;4977;237;54
16/12/2020;4958;237;54
15/12/2020;4935;237;54
14/12/2020;4935;237;54
13/12/2020;4935;237;54
12/12/2020;4921;237;54
11/12/2020;4913;236;53
10/12/2020;4907;236;53
09/12/2020;4898;236;53
08/12/2020;4897;236;53
07/12/2020;4893;236;53
06/12/2020;4873;236;53
05/12/2020;4866;234;53
04/12/2020;4861;225;53
03/12/2020;4851;222;53
02/12/2020;4846;222;53
01/12/2020;4846;222;53
30/11/2020;4845;222;53
29/11/2020;4845;222;53
28/11/2020;4820;222;53
27/11/2020;4780;222;53
26/11/2020;4579;222;53
25/11/2020;4562;222;53
24/11/2020;4559;222;53
23/11/2020;4557;222;53
22/11/2020;4557;222;53
21/11/2020;4556;222;53
20/11/2020;4553;222;52
19/11/2020;4551;222;52
18/11/2020;4545;221;52
17/11/2020;4524;221;52
16/11/2020;4518;221;52
15/11/2020;4512;221;52
14/11/2020;4512;221;52
13/11/2020;4499;219;52
12/11/2020;4490;219;52
11/11/2020;4450;219;52
10/11/2020;4429;218;52
09/11/2020;4415;218;52
08/11/2020;4412;218;52
07/11/2020;4355;218;52
06/11/2020;4324;218;51
05/11/2020;4302;216;51
04/11/2020;4294;216;51
03/11/2020;4290;216;51
02/11/2020;4280;216;51
01/11/2020;4271;216;51
31/10/2020;4226;216;52
30/10/2020;4212;216;52
29/10/2020;4202;215;52
28/10/2020;4195;216;52
27/10/2020;4173;216;52
26/10/2020;4160;216;52
25/10/2020;4159;216;52
24/10/2020;4149;214;52
23/10/2020;4144;214;52
22/10/2020;4098;214;52
21/10/2020;4091;214;52
20/10/2020;4059;209;52
19/10/2020;4051;207;52
18/10/2020;4050;207;52
17/10/2020;4018;207;52
16/10/2020;3950;207;52
15/10/2020;3946;207;52
14/10/2020;3891;207;51
13/10/2020;3866;207;51
12/10/2020;3864;207;51
11/10/2020;3858;207;51
10/10/2020;3857;207;51
09/10/2020;3855;207;51
08/10/2020;3816;207;51
07/10/2020;3796;207;36
06/10/2020;3795;207;36
05/10/2020;3791;297;36
04/10/2020;3791;207;36
03/10/2020;3778;207;36
02/10/1900;3765;207;36
01/10/2020;3753;207;36
30/09/2020;3768;207;36
29/09/2020;3729;207;36
28/09/2020;3723;206;36
27/09/2020;3723;206;36
26/09/2020;3710;206;36
25/09/2020;3706;205;36
24/09/2020;3698;205;36
23/09/2020;3690;205;35
22/09/2020;3679;205;35
21/09/2020;3679;205;35
20/09/2020;3678;205;35
19/09/2020;3667;205;35
18/09/2020;3660;205;35
17/09/2020;3651;204;35
16/09/2020;3643;203;35
15/09/2020;3640;203;35
14/09/2020;3640;203;35
13/09/2020;3639;203;35
12/09/2020;3633;203;35
11/09/2020;3626;202;35
