Fecha;Contagiados;Muertos;Fallecidos Probables
28/01/2021;6972;338;79
27/01/2021;6904;338;79
26/01/2021;6846;335;78
25/01/2021;6840;335;77
24/01/2021;6837;331;76
23/01/2021;6661;330;74
22/01/2021;6580;329;72
21/01/2021;6570;328;57
20/01/2021;6497;328;65
19/01/2021;6464;328;65
18/01/2021;6449;326;65
17/01/2021;6448;326;65
16/01/2021;6435;326;65
15/01/2021;6420;326;65
14/01/2021;6419;326;65
13/01/2021;6400;325;65
12/01/2021;5989;320;65
11/01/2021;5940;319;65
10/01/2021;5932;319;65
09/01/2021;5912;318;65
08/01/2021;5894;317;65
07/01/2021;4844;315;65
06/01/2021;5823;315;65
05/01/2021;5779;314;65
04/01/2021;5740;314;65
03/01/2021;5712;313;65
02/01/2021;5710;312;65
01/01/2021;5707;312;65
31/12/2020;5655;311;65
30/12/2020;5640;311;65
29/12/2020;5639;311;65
28/12/2020;5629;311;65
27/12/2020;5619;311;65
26/12/2020;5615;311;65
25/12/2020;5610;311;65
24/12/2020;5599;310;65
23/12/2020;6534;308;65
22/12/2020;6512;305;65
21/12/2020;5498;304;65
20/12/2020;5467;303;65
19/12/2020;5430;302;65
18/12/2020;5420;301;65
17/12/2020;5410;300;65
16/12/2020;4390;300;65
15/12/2020;5367;300;65
14/12/2020;5344;300;65
13/12/2020;5312;300;65
12/12/2020;5289;300;65
11/12/2020;5256;300;65
10/12/2020;5247;300;65
09/12/2020;5229;300;65
08/12/2020;5213;300;65
07/12/2020;5206;300;65
06/12/2020;5200;300;65
05/12/2020;5198;300;65
04/12/2020;5145;300;65
03/12/2020;5129;299;65
02/12/2020;5113;298;64
01/12/2020;5108;297;63
30/11/2020;5093;296;63
29/11/2020;5090;296;63
28/11/2020;5071;296;63
27/11/2020;5042;295;63
26/11/2020;4997;294;63
25/11/2020;4985;294;63
24/11/2020;4971;293;63
23/11/2020;4967;293;63
22/11/2020;4963;293;63
21/11/2020;4934;292;63
20/11/2020;4913;291;63
19/11/2020;4897;290;63
18/11/2020;4876;290;63
17/11/2020;4842;288;63
16/11/2020;4830;288;63
15/11/2020;4788;288;63
14/11/2020;4761;288;63
13/11/2020;4749;287;63
