Fecha;Contagiados;Muertos;Fallecidos Probables
28/01/2021;10162;625;230
27/01/2021;10078;624;230
26/01/2021;10067;622;213
25/01/2021;10023;615;213
24/01/2021;10011;610;213
23/01/2021;9872;605;213
22/01/2021;9830;602;213
21/01/2021;9678;598;213
20/01/2021;9648;594;211
19/01/2021;9584;594;211
18/01/2021;9478;585;211
17/01/2021;9411;585;211
16/01/2021;9425;585;211
15/01/2021;9321;584;211
14/01/2021;9235;583;211
13/01/2021;9144;583;211
12/01/2021;9048;582;211
11/01/2021;8999;577;209
10/01/2021;8872;577;209
09/01/2021;8769;577;209
08/01/2021;8680;577;209
07/01/2021;8613;577;208
06/01/2021;8547;576;208
05/01/2021;8500;574;208
04/01/2021;8452;573;208
03/01/2021;8438;571;208
02/01/2021;8435;572;208
01/01/2021;8343;571;208
31/12/2020;8323;569;207
30/12/2020;8297;569;202
29/12/2020;8213;566;202
28/12/2020;8199;565;201
27/12/2020;8153;564;201
26/12/2020;8153;645;199
25/12/2020;8147;564;199
24/12/2020;8084;564;199
23/12/2020;8040;561;199
22/12/2020;7998;561;199
21/12/2020;7998;561;199
20/12/2020;7985;561;199
19/12/2020;7938;561;199
18/12/2020;7901;560;199
17/12/2020;7819;559;199
16/12/2020;7780;555;199
15/12/2020;7748;553;199
14/12/2020;7732;553;199
13/12/2020;7730;553;199
12/12/2020;7691;553;199
11/12/2020;7652;553;199
10/12/2020;7620;553;198
09/12/2020;7566;553;198
08/12/2020;7560;553;197
07/12/2020;7549;553;197
06/12/2020;7541;553;197
05/12/2020;7502;553;190
04/12/2020;7462;551;193
03/12/2020;7418;551;193
02/12/2020;7398;548;193
01/12/2020;7390;548;193
30/11/2020;7367;548;192
29/11/2020;7362;548;192
28/11/2020;7311;548;192
27/11/2020;7279;547;192
26/11/2020;7202;547;192
25/11/2020;7156;545;192
24/11/2020;7113;544;192
23/11/2020;7104;532;190
22/11/2020;7073;518;189
21/11/2020;7046;518;189
20/11/2020;6993;512;189
19/11/2020;6975;505;189
18/11/2020;6939;504;189
17/11/2020;6894;504;188
16/11/2020;6872;504;188
15/11/2020;6870;502;186
14/11/2020;6842;502;186
13/11/2020;6875;501;186
12/11/2020;6706;495;187
11/11/2020;6669;495;186
10/11/2020;6605;494;186
09/11/2020;6577;494;186
08/11/2020;6577;494;186
07/11/2020;6524;494;186
06/11/2020;6497;494;185
05/11/2020;6497;491;185
04/11/2020;6497;476;185
03/11/2020;6493;470;185
02/11/2020;6483;468;185
01/11/2020;6477;466;185
31/10/2020;6452;464;185
30/10/2020;6441;460;184
29/10/2020;6433;459;184
28/10/2020;6408;459;184
27/10/2020;6350;459;183
26/10/2020;6310;458;183
25/10/2020;6295;445;183
24/10/2020;6293;445;183
23/10/2020;6253;443;183
22/10/2020;6160;442;183
21/10/2020;6094;438;181
20/10/2020;6094;438;181
19/10/2020;6038;438;181
18/10/2020;6028;437;181
17/10/2020;6009;436;181
16/10/2020;6008;426;176
15/10/2020;5964;425;170
14/10/2020;5936;425;169
13/10/2020;5905;423;169
12/10/2020;5844;420;168
11/10/2020;5833;420;168
10/10/2020;5832;420;168
09/10/2020;5828;419;168
08/10/2020;5797;417;168
07/10/2020;5740;417;163
06/10/2020;5664;417;147
05/10/2020;5654;417;147
04/10/2020;5640;417;147
03/10/2020;5635;405;147
02/10/1900;5619;405;118
01/10/2020;5600;395;118
30/09/2020;5523;395;116
29/09/2020;5400;392;115
28/09/2020;5384;390;115
27/09/2020;5382;390;115
26/09/2020;5371;390;119
25/09/2020;5352;390;113
24/09/2020;5334;390;113
23/09/2020;5313;389;112
22/09/2020;5295;385;112
21/09/2020;5280;385;112
20/09/2020;5277;385;112
19/09/2020;5243;385;112
18/09/2020;5206;385;112
17/09/2020;5162;385;112
16/09/2020;5217;382;112
15/09/2020;5092;382;111
14/09/2020;5082;382;111
13/09/2020;5053;382;111
12/09/2020;4984;382;111
11/09/2020;4951;382;111
10/09/2020;4877;381;111
09/09/2020;4779;376;111
08/09/2020;4755;375;110
07/09/2020;4227;374;-
06/09/2020;4707;374;-
05/09/2020;4629;365;-
04/09/2020;4560;365;-
03/09/2020;4510;365;-
02/09/2020;4464;365;-
01/09/2020;4423;364;-
31/08/2020;4385;364;-
30/08/2020;4376;364;-
29/08/2020;4345;364;-
28/08/2020;4330;364;-
27/08/2020;4277;363;-
26/08/2020;4234;360;-
25/08/2020;4215;360;-
24/08/2020;4159;358;-
23/08/2020;4103;356;-
22/08/2020;4056;356;-
21/08/2020;4041;355;-
20/08/2020;3987;353;-
19/08/2020;3968;352;-
18/08/2020;3958;347;-
17/08/2020;3877;347;-
16/08/2020;3870;347;-
15/08/2020;3845;347;-
14/08/2020;3821;346;-
13/08/2020;3755;343;-
12/08/2020;3721;342;-
11/08/2020;3666;342;-
10/08/2020;3634;340;-
09/08/2020;3588;340;-
08/08/2020;3492;340;-
07/08/2020;3414;339;-
06/08/2020;3357;336;-
05/08/2020;3357;336;-
04/08/2020;3346;336;-
03/08/2020;3342;334;-
02/08/1900;3291;334;-
01/08/2020;3233;334;-
31/07/2020;3181;334;-
30/07/2020;3118;334;-
29/07/2020;3062;333;-
28/07/2020;3001;331;-
27/07/2020;3922;325;-
26/07/2020;2094;325;-
25/07/2020;2879;325;-
24/07/2020;2764;320;-
