Fecha;Contagiados;Muertos;Fallecidos Probables
28/01/2021;4104;366;125
27/01/2021;4103;366;125
26/01/2021;4083;366;125
25/01/2021;4076;366;125
24/01/2021;4074;366;124
23/01/2021;3918;366;124
22/01/2021;3912;366;124
21/01/2021;3885;366;124
20/01/2021;3841;365;124
19/01/2021;3827;363;124
18/01/2021;3816;361;124
17/01/2021;3815;361;124
16/01/2021;3763;361;124
15/01/2021;3631;360;124
14/01/2021;3619;360;124
13/01/2021;3549;360;124
12/01/2021;3530;358;124
11/01/2021;3510;357;124
10/01/2021;3505;357;124
09/01/2021;3466;357;124
08/01/2021;3422;357;124
07/01/2021;3417;357;124
06/01/2021;3393;354;124
05/01/2021;3358;354;124
04/01/2021;3314;354;124
03/01/2021;3287;345;124
02/01/2021;3284;345;124
01/01/2021;3260;345;124
31/12/2020;3253;344;124
30/12/2020;3253;344;124
29/12/2020;3221;344;124
28/12/2020;3198;344;124
27/12/2020;3178;344;124
26/12/2020;3175;344;124
25/12/2020;3164;344;124
24/12/2020;3144;344;124
23/12/2020;3102;344;124
22/12/2020;3083;344;124
21/12/2020;3083;344;124
20/12/2020;3080;344;124
19/12/2020;3066;344;124
18/12/2020;3056;344;124
17/12/2020;3028;344;124
16/12/2020;3011;344;124
15/12/2020;2990;344;123
14/12/2020;2986;344;123
13/12/2020;2978;344;123
12/12/2020;2969;344;123
11/12/2020;2949;342;123
10/12/2020;2941;342;123
09/12/2020;2926;341;121
08/12/2020;2923;340;120
07/12/2020;2920;340;120
06/12/2020;2919;340;120
05/12/2020;2907;340;120
04/12/2020;2878;340;120
03/12/2020;2876;336;120
02/12/2020;2864;336;120
01/12/2020;2852;335;120
30/11/2020;2845;335;120
29/11/2020;2840;335;120
28/11/2020;2837;335;120
27/11/2020;2807;334;120
26/11/2020;2785;332;120
25/11/2020;2765;332;120
24/11/2020;2757;332;120
23/11/2020;2752;332;120
22/11/2020;2748;332;120
21/11/2020;2732;332;120
20/11/2020;2715;331;120
19/11/2020;2689;329;119
18/11/2020;2673;239;119
17/11/2020;2656;329;119
16/11/2020;2655;329;119
15/11/2020;2650;329;118
14/11/2020;2648;329;118
13/11/2020;2642;325;119
12/11/2020;2625;324;120
11/11/2020;2601;323;120
10/11/2020;2595;318;120
09/11/2020;2586;318;120
08/11/2020;2586;318;120
07/11/2020;2569;318;120
06/11/2020;2560;318;119
05/11/2020;2557;318;119
04/11/2020;2552;315;119
03/11/2020;2536;315;119
02/11/2020;2532;315;119
01/11/2020;2516;315;119
31/10/2020;2510;313;119
30/10/2020;2501;311;119
29/10/2020;2491;311;118
28/10/2020;2490;310;118
27/10/2020;2480;309;118
