FECHA;PROVINCIA ;CASOS CONF.;FALLECIDOS;PROBABLES;CANTON ;CASOS CONF.
07/02/2021;GALAPAGOS;1270;8;3;SANTA CRUZ;731
06/02/2021;GALAPAGOS;1270;8;3;SANTA CRUZ;731
05/02/2021;GALAPAGOS;1265;8;3;SANTA CRUZ;729
04/02/2021;GALAPAGOS;1262;8;3;SANTA CRUZ;727
03/02/2021;GALAPAGOS;1258;8;3;SANTA CRUZ;726
02/02/2021;GALAPAGOS;1255;8;3;SANTA CRUZ;723
01/02/2021;GALAPAGOS;1247;8;3;SANTA CRUZ;718
31/01/2021;GALAPAGOS;1247;8;3;SANTA CRUZ;718
30/01/2021;GALAPAGOS;1246;8;3;SANTA CRUZ;718
29/01/2021;GALAPAGOS;1243;8;3;SANTA CRUZ;716
28/01/2021;GALAPAGOS;1239;8;3;SANTA CRUZ;714
27/01/2021;GALAPAGOS;1223;8;3;SANTA CRUZ;705
26/01/2021;GALAPAGOS;1216;8;3;SANTA CRUZ;698
25/01/2021;GALAPAGOS;1211;8;2;SANTA CRUZ;698
24/01/2021;GALAPAGOS;1210;7;2;SANTA CRUZ;697
23/01/2021;GALAPAGOS;1200;7;2;SANTA CRUZ;688
22/01/2021;GALAPAGOS;1200;7;2;SANTA CRUZ;688
21/01/2021;GALAPAGOS;1190;7;2;SANTA CRUZ;688
20/01/2021;GALAPAGOS;1156;7;2;SANTA CRUZ;662
19/01/2021;GALAPAGOS;1148;6;2;SANTA CRUZ;659
18/01/2021;GALAPAGOS;1138;6;2;SANTA CRUZ;649
17/01/2021;GALAPAGOS;1138;6;2;SANTA CRUZ;649
16/01/2021;GALAPAGOS;1137;6;2;SANTA CRUZ;648
15/01/2021;GALAPAGOS;1115;6;2;SANTA CRUZ;633
14/01/2021;GALAPAGOS;1089;6;2;SANTA CRUZ;613
13/01/2021;GALAPAGOS;1061;6;2;SANTA CRUZ;596
12/01/2021;GALAPAGOS;1014;6;2;SANTA CRUZ;591
11/01/2021;GALAPAGOS;996;6;2;SANTA CRUZ;576
10/01/2021;GALAPAGOS;989;6;2;SANTA CRUZ;569
09/01/2021;GALAPAGOS;987;6;2;SANTA CRUZ;567
08/01/2021;GALAPAGOS;968;6;2;SANTA CRUZ;550
07/01/2021;GALAPAGOS;953;6;2;SANTA CRUZ;535
06/01/2021;GALAPAGOS;948;6;2;SANTA CRUZ;532
05/01/2021;GALAPAGOS;928;5;2;SANTA CRUZ;514
04/01/2021;GALAPAGOS;922;5;2;SANTA CRUZ;508
03/01/2021;GALAPAGOS;922;5;2;SANTA CRUZ;508
02/01/2021;GALAPAGOS;922;5;2;SANTA CRUZ;508
01/01/2021;GALAPAGOS;920;5;2;SANTA CRUZ;506
31/12/2020;GALAPAGOS;918;4;2;SANTA CRUZ;504
30/12/2020;GALAPAGOS;918;4;2;SANTA CRUZ;504
29/12/2020;GALAPAGOS;905;4;2;SANTA CRUZ;500
28/12/2020;GALAPAGOS;904;4;2;SANTA CRUZ;500
27/12/2020;GALAPAGOS;903;4;2;SANTA CRUZ;499
26/12/2020;GALAPAGOS;903;4;2;SANTA CRUZ;499
25/12/2020;GALAPAGOS;903;4;2;SANTA CRUZ;499
24/12/2020;GALAPAGOS;901;4;2;SANTA CRUZ;497
23/12/2020;GALAPAGOS;900;4;2;SANTA CRUZ;496
22/12/2020;GALAPAGOS;894;4;2;SANTA CRUZ;493
21/12/2020;GALAPAGOS;894;4;2;SANTA CRUZ;493
20/12/2020;GALAPAGOS;893;4;2;SANTA CRUZ;493
19/12/2020;GALAPAGOS;893;4;2;SANTA CRUZ;493
18/12/2020;GALAPAGOS;867;4;2;SANTA CRUZ;468
17/12/2020;GALAPAGOS;862;4;2;SANTA CRUZ;463
16/12/2020;GALAPAGOS;861;4;2;SANTA CRUZ;462
15/12/2020;GALAPAGOS;861;4;2;SANTA CRUZ;462
14/12/2020;GALAPAGOS;861;4;2;SANTA CRUZ;462
13/12/2020;GALAPAGOS;861;4;2;SANTA CRUZ;462
12/12/2020;GALAPAGOS;860;4;2;SANTA CRUZ;461
11/12/2020;GALAPAGOS;860;4;2;SANTA CRUZ;461
10/12/2020;GALAPAGOS;860;4;2;SANTA CRUZ;461
09/12/2020;GALAPAGOS;860;4;2;SANTA CRUZ;461
08/12/2020;GALAPAGOS;859;4;2;SANTA CRUZ;461
07/12/2020;GALAPAGOS;847;4;2;SANTA CRUZ;449
06/12/2020;GALAPAGOS;847;3;2;SANTA CRUZ;449
05/12/2020;GALAPAGOS;847;2;2;SANTA CRUZ;449
04/12/2020;GALAPAGOS;846;2;2;SANTA CRUZ;449
03/12/2020;GALAPAGOS;846;2;2;SANTA CRUZ;449
02/12/2020;GALAPAGOS;713;2;2;SANTA CRUZ;449
01/12/2020;GALAPAGOS;676;2;2;SANTA CRUZ;449
30/11/2020;GALAPAGOS;628;2;2;SANTA CRUZ;422
29/11/2020;GALAPAGOS;587;1;1;SANTA CRUZ;402
28/11/2020;GALAPAGOS;560;1;1;SANTA CRUZ;391
27/11/2020;GALAPAGOS;543;1;1;SANTA CRUZ;384
26/11/2020;GALAPAGOS;527;1;1;SANTA CRUZ;382
25/11/2020;GALAPAGOS;436;1;1;SANTA CRUZ;303
24/11/2020;GALAPAGOS;436;1;1;SANTA CRUZ;303
23/11/2020;GALAPAGOS;413;1;1;SANTA CRUZ;280
22/11/2020;GALAPAGOS;375;1;1;SANTA CRUZ;279
21/11/2020;GALAPAGOS;258;1;1;SANTA CRUZ;166
20/11/2020;GALAPAGOS;243;1;1;SANTA CRUZ;166
19/11/2020;GALAPAGOS;239;1;1;SANTA CRUZ;166
18/11/2020;GALAPAGOS;233;1;1;SANTA CRUZ;165
17/11/2020;GALAPAGOS;233;1;1;SANTA CRUZ;165
16/11/2020;GALAPAGOS;233;1;1;SANTA CRUZ;165
15/11/2020;GALAPAGOS;233;1;1;SANTA CRUZ;165
14/11/2020;GALAPAGOS;233;1;1;SANTA CRUZ;165
13/11/2020;GALAPAGOS;232;1;1;SANTA CRUZ;165
