FECHA;PROVINCIA ;CASOS CONF.;FALLECIDOS;PROBABLES;CAPITAL;CASOS CONF.
07/02/2021;GUAYAS;32630;1959;1702;GUAYAQUIL;22514
06/02/2021;GUAYAS;32509;1959;1702;GUAYAQUIL;22441
05/02/2021;GUAYAS;32309;1956;1702;GUAYAQUIL;22338
04/02/2021;GUAYAS;32170;1956;1702;GUAYAQUIL;22248
03/02/2021;GUAYAS;32053;1951;1702;GUAYAQUIL;22181
02/02/2021;GUAYAS;31850;1950;1702;GUAYAQUIL;22082
01/02/2021;GUAYAS;31843;1949;1702;GUAYAQUIL;22076
31/01/2021;GUAYAS;31840;1949;1702;GUAYAQUIL;22074
30/01/2021;GUAYAS;31686;1948;1702;GUAYAQUIL;21974
29/01/2021;GUAYAS;31363;1947;1702;GUAYAQUIL;21799
28/01/2021;GUAYAS;31321;1943;1702;GUAYAQUIL;21767
27/01/2021;GUAYAS;31068;1928;1699;GUAYAQUIL;21600
26/01/2021;GUAYAS;31002;1927;1699;GUAYAQUIL;21549
25/01/2021;GUAYAS;30882;1925;1699;GUAYAQUIL;21473
24/01/2021;GUAYAS;30849;1925;1699;GUAYAQUIL;21465
23/01/2021;GUAYAS;30548;1924;1699;GUAYAQUIL;21311
22/01/2021;GUAYAS;30505;1910;1697;GUAYAQUIL;21286
21/01/2021;GUAYAS;30365;1895;1697;GUAYAQUIL;21199
20/01/2021;GUAYAS;30239;1877;1695;GUAYAQUIL;21115
19/01/2021;GUAYAS;30102;1874;1695;GUAYAQUIL;21025
18/01/2021;GUAYAS;29923;1872;1694;GUAYAQUIL;20935
17/01/2021;GUAYAS;29903;1870;1694;GUAYAQUIL;20929
16/01/2021;GUAYAS;29775;1868;1694;GUAYAQUIL;20841
15/01/2021;GUAYAS;29547;1867;1694;GUAYAQUIL;20712
14/01/2021;GUAYAS;29434;1866;1694;GUAYAQUIL;20647
13/01/2021;GUAYAS;29218;1866;1694;GUAYAQUIL;20483
12/01/2021;GUAYAS;29005;1866;1694;GUAYAQUIL;20339
11/01/2021;GUAYAS;28753;1866;1694;GUAYAQUIL;20163
10/01/2021;GUAYAS;28738;1866;1694;GUAYAQUIL;20151
09/01/2021;GUAYAS;28600;1866;1694;GUAYAQUIL;20053
08/01/2021;GUAYAS;28434;1865;1693;GUAYAQUIL;19941
07/01/2021;GUAYAS;28276;1865;1693;GUAYAQUIL;19825
06/01/2021;GUAYAS;28000;1865;1693;GUAYAQUIL;19636
05/01/2021;GUAYAS;27805;1864;1693;GUAYAQUIL;19477
04/01/2021;GUAYAS;27692;1863;1688;GUAYAQUIL;19386
03/01/2021;GUAYAS;27630;1859;1688;GUAYAQUIL;19341
02/01/2021;GUAYAS;27630;1859;1688;GUAYAQUIL;19341
01/01/2021;GUAYAS;27475;1859;1688;GUAYAQUIL;19222
31/12/2020;GUAYAS;27317;1859;1687;GUAYAQUIL;19097
30/12/2020;GUAYAS;27207;1859;1686;GUAYAQUIL;19020
