FECHA;PROVINCIA ;CASOS CONF.;FALLECIDOS;PROBABLES;CANTON  ;CASOS CONF.
07/02/2021;IMBABURA;7898;236;17;IBARRA;4002
06/02/2021;IMBABURA;7861;235;17;IBARRA;3988
05/02/2021;IMBABURA;7800;233;17;IBARRA;3952
04/02/2021;IMBABURA;7643;232;17;IBARRA;3869
03/02/2021;IMBABURA;7589;232;17;IBARRA;3859
02/02/2021;IMBABURA;7531;232;17;IBARRA;3822
01/02/2021;IMBABURA;7524;232;17;IBARRA;3819
31/01/2021;IMBABURA;7523;231;17;IBARRA;3819
30/01/2021;IMBABURA;7509;231;17;IBARRA;3814
29/01/2021;IMBABURA;7411;231;17;IBARRA;3763
28/01/2021;IMBABURA;7367;229;17;IBARRA;3744
27/01/2021;IMBABURA;7298;229;17;IBARRA;3705
26/01/2021;IMBABURA;7214;228;17;IBARRA;3654
25/01/2021;IMBABURA;7188;228;17;IBARRA;3637
24/01/2021;IMBABURA;7176;228;17;IBARRA;3629
23/01/2021;IMBABURA;7096;228;17;IBARRA;3583
22/01/2021;IMBABURA;6987;224;17;IBARRA;3551
21/01/2021;IMBABURA;6953;224;17;IBARRA;3531
20/01/2021;IMBABURA;6888;222;17;IBARRA;3494
19/01/2021;IMBABURA;6845;222;17;IBARRA;3479
18/01/2021;IMBABURA;6797;222;17;IBARRA;3438
17/01/2021;IMBABURA;6796;222;17;IBARRA;3437
16/01/2021;IMBABURA;6744;222;17;IBARRA;3416
15/01/2021;IMBABURA;6497;221;17;IBARRA;3290
14/01/2021;IMBABURA;6486;221;17;IBARRA;3283
13/01/2021;IMBABURA;6466;220;17;IBARRA;3274
12/01/2021;IMBABURA;6385;217;17;IBARRA;3243
11/01/2021;IMBABURA;6347;217;17;IBARRA;3222
10/01/2021;IMBABURA;6336;217;17;IBARRA;3217
09/01/2021;IMBABURA;6334;217;17;IBARRA;3216
08/01/2021;IMBABURA;6289;217;17;IBARRA;3193
07/01/2021;IMBABURA;6261;217;17;IBARRA;3187
06/01/2021;IMBABURA;6239;217;17;IBARRA;3179
05/01/2021;IMBABURA;6181;217;17;IBARRA;3143
04/01/2021;IMBABURA;6146;215;16;IBARRA;3115
03/01/2021;IMBABURA;6134;214;16;IBARRA;3115
02/01/2021;IMBABURA;6128;215;16;IBARRA;3111
01/01/2021;IMBABURA;6076;214;16;IBARRA;3088
31/12/2020;IMBABURA;6063;214;16;IBARRA;3079
30/12/2020;IMBABURA;6022;214;16;IBARRA;3050
29/12/2020;IMBABURA;5969;214;16;IBARRA;3039
28/12/2020;IMBABURA;5959;214;16;IBARRA;3034
27/12/2020;IMBABURA;5950;214;16;IBARRA;3030
26/12/2020;IMBABURA;5946;214;16;IBARRA;3028
25/12/2020;IMBABURA;5895;214;16;IBARRA;3009
24/12/2020;IMBABURA;5853;214;16;IBARRA;2983
23/12/2020;IMBABURA;5840;214;16;IBARRA;2971
22/12/2020;IMBABURA;5816;214;16;IBARRA;2951
21/12/2020;IMBABURA;5816;214;16;IBARRA;2951
20/12/2020;IMBABURA;5816;214;16;IBARRA;2951
19/12/2020;IMBABURA;5797;214;16;IBARRA;2935
18/12/2020;IMBABURA;5773;214;16;IBARRA;2922
17/12/2020;IMBABURA;5734;214;16;IBARRA;2909
16/12/2020;IMBABURA;5722;214;16;IBARRA;2900
15/12/2020;IMBABURA;5699;210;16;IBARRA;2886
14/12/2020;IMBABURA;5695;194;15;IBARRA;2884
13/12/2020;IMBABURA;5686;194;15;IBARRA;2878
12/12/2020;IMBABURA;5682;194;15;IBARRA;2876
11/12/2020;IMBABURA;5650;193;15;IBARRA;2859
10/12/2020;IMBABURA;5646;193;15;IBARRA;2856
09/12/2020;IMBABURA;5618;189;15;IBARRA;2840
08/12/2020;IMBABURA;5605;189;15;IBARRA;2827
07/12/2020;IMBABURA;5603;189;15;IBARRA;2826
06/12/2020;IMBABURA;5602;189;15;IBARRA;2825
05/12/2020;IMBABURA;5584;189;15;IBARRA;2819
04/12/2020;IMBABURA;5553;188;15;IBARRA;2794
03/12/2020;IMBABURA;5527;187;15;IBARRA;2792
02/12/2020;IMBABURA;5434;185;15;IBARRA;2777
01/12/2020;IMBABURA;5418;185;15;IBARRA;2766
30/11/2020;IMBABURA;5407;185;15;IBARRA;2757
29/11/2020;IMBABURA;5407;185;15;IBARRA;2757
28/11/2020;IMBABURA;5376;185;15;IBARRA;2740
27/11/2020;IMBABURA;5352;185;15;IBARRA;2728
26/11/2020;IMBABURA;5310;182;9;IBARRA;2702
25/11/2020;IMBABURA;5274;181;9;IBARRA;2682
24/11/2020;IMBABURA;5266;181;9;IBARRA;2677
23/11/2020;IMBABURA;5244;178;8;IBARRA;2669
22/11/2020;IMBABURA;5243;178;8;IBARRA;2668
21/11/2020;IMBABURA;5236;178;8;IBARRA;2662
20/11/2020;IMBABURA;5194;178;8;IBARRA;2642
19/11/2020;IMBABURA;5165;177;7;IBARRA;2628
18/11/2020;IMBABURA;5117;176;7;IBARRA;2597
17/11/2020;IMBABURA;5093;175;7;IBARRA;2582
16/11/2020;IMBABURA;5080;175;7;IBARRA;2573
15/11/2020;IMBABURA;5077;175;7;IBARRA;2571
14/11/2020;IMBABURA;5053;175;7;IBARRA;2557
13/11/2020;IMBABURA;5024;174;7;IBARRA;2537
12/11/2020;IMBABURA;4938;174;7;IBARRA;2492
11/11/2020;IMBABURA;4916;174;7;IBARRA;2473
10/11/2020;IMBABURA;4896;173;7;IBARRA;2461
09/11/2020;IMBABURA;4890;172;7;IBARRA;2456
08/11/2020;IMBABURA;4887;172;7;IBARRA;2455
07/11/2020;IMBABURA;4833;171;7;IBARRA;2424
06/11/2020;IMBABURA;4816;171;7;IBARRA;2417
05/11/2020;IMBABURA;4788;171;7;IBARRA;2405
04/11/2020;IMBABURA;4785;171;7;IBARRA;2403
03/11/2020;IMBABURA;4782;171;7;IBARRA;2401
02/11/2020;IMBABURA;4773;171;7;IBARRA;2396
01/11/2020;IMBABURA;4773;170;7;IBARRA;2396
31/10/2020;IMBABURA;4745;169;7;IBARRA;2378
30/10/2020;IMBABURA;4727;169;7;IBARRA;2370
29/10/2020;IMBABURA;4715;169;7;IBARRA;2362
28/10/2020;IMBABURA;4702;167;8;IBARRA;2355
27/10/2020;IMBABURA;4640;165;7;IBARRA;2324
26/10/2020;IMBABURA;4618;164;7;IBARRA;2320
25/10/2020;IMBABURA;4616;163;7;IBARRA;2319
24/10/2020;IMBABURA;4605;162;7;IBARRA;2312
23/10/2020;IMBABURA;4591;162;7;IBARRA;2303
22/10/2020;IMBABURA;4560;161;6;IBARRA;2285
21/10/2020;IMBABURA;4536;161;6;IBARRA;2277
20/10/2020;IMBABURA;4514;160;6;IBARRA;2264
19/10/2020;IMBABURA;4509;159;6;IBARRA;2259
18/10/2020;IMBABURA;4507;159;6;IBARRA;2257
17/10/2020;IMBABURA;4482;158;6;IBARRA;2253
16/10/2020;IMBABURA;4465;158;6;IBARRA;2248
15/10/2020;IMBABURA;4433;158;6;IBARRA;2238
14/10/2020;IMBABURA;4381;157;6;IBARRA;2205
13/10/2020;IMBABURA;4349;156;6;IBARRA;2195
12/10/2020;IMBABURA;4328;155;6;IBARRA;2179
11/10/2020;IMBABURA;4326;132;6;IBARRA;2178
10/10/2020;IMBABURA;4318;132;6;IBARRA;2178
09/10/2020;IMBABURA;4297;130;6;IBARRA;2170
08/10/2020;IMBABURA;4268;127;6;IBARRA;2156
07/10/2020;IMBABURA;4245;126;4;IBARRA;2139
06/10/2020;IMBABURA;4207;126;4;IBARRA;2106
05/10/2020;IMBABURA;4174;125;4;IBARRA;2087
04/10/2020;IMBABURA;4169;125;4;IBARRA;2083
03/10/2020;IMBABURA;4156;125;4;IBARRA;2077
02/10/2020;IMBABURA;4111;125;4;IBARRA;2060
01/10/2020;IMBABURA;4074;123;4;IBARRA;2040
30/09/2020;IMBABURA;4012;123;4;IBARRA;2000
29/09/2020;IMBABURA;3952;120;4;IBARRA;1957
28/09/2020;IMBABURA;3891;118;4;IBARRA;1916
27/09/2020;IMBABURA;3867;118;4;IBARRA;1916
26/09/2020;IMBABURA;3839;118;4;IBARRA;1899
25/09/2020;IMBABURA;3801;117;4;IBARRA;1884
24/09/2020;IMBABURA;3769;111;4;IBARRA;1865
23/09/2020;IMBABURA;3720;111;4;IBARRA;1833
22/09/2020;IMBABURA;3601;108;5;IBARRA;1782
21/09/2020;IMBABURA;3563;108;5;IBARRA;1751
20/09/2020;IMBABURA;3563;108;5;IBARRA;1751
19/09/2020;IMBABURA;3545;108;5;IBARRA;1739
18/09/2020;IMBABURA;3473;108;5;IBARRA;1691
17/09/2020;IMBABURA;3456;107;5;IBARRA;1683
16/09/2020;IMBABURA;3441;107;5;IBARRA;1676
15/09/2020;IMBABURA;3351;106;5;IBARRA;1632
14/09/2020;IMBABURA;3316;106;5;IBARRA;1619
13/09/2020;IMBABURA;3315;106;5;IBARRA;1619
12/09/2020;IMBABURA;3299;104;5;IBARRA;1619
11/09/2020;IMBABURA;3273;103;5;IBARRA;1615
10/09/2020;IMBABURA;3242;101;5;IBARRA;1598
09/09/2020;IMBABURA;3183;99;5;IBARRA;1568
08/09/2020;IMBABURA;3069;96;5;IBARRA;1541
07/09/2020;IMBABURA;3067;101;;IBARRA;1540
