FECHA;PROVINCIA ;CASOS CONF.;FALLECIDOS;PROBABLES;CANTON;CASOS CONF.
07/02/2021;LOJA ;9287;273;48;LOJA;6840
06/02/2021;LOJA ;9237;272;48;LOJA;6797
05/02/2021;LOJA ;9209;271;48;LOJA;6781
04/02/2021;LOJA ;9163;267;48;LOJA;6748
03/02/2021;LOJA ;9123;266;48;LOJA;6712
02/02/2021;LOJA ;9085;263;48;LOJA;6689
01/02/2021;LOJA ;9075;261;48;LOJA;6682
31/01/2021;LOJA ;9064;261;48;LOJA;6671
30/01/2021;LOJA ;9002;261;48;LOJA;6617
29/01/2021;LOJA ;8919;260;48;LOJA;6556
28/01/2021;LOJA ;8886;258;48;LOJA;6526
27/01/2021;LOJA ;8755;256;48;LOJA;6434
26/01/2021;LOJA ;8709;255;48;LOJA;6394
25/01/2021;LOJA ;8694;255;48;LOJA;6381
24/01/2021;LOJA ;8616;255;48;LOJA;6312
23/01/2021;LOJA ;8530;252;48;LOJA;6273
22/01/2021;LOJA ;8497;249;48;LOJA;6259
21/01/2021;LOJA ;8468;249;48;LOJA;6244
20/01/2021;LOJA ;8313;248;47;LOJA;6147
19/01/2021;LOJA ;8287;247;47;LOJA;6124
18/01/2021;LOJA ;8276;247;47;LOJA;6116
17/01/2021;LOJA ;8250;247;47;LOJA;6092
16/01/2021;LOJA ;8201;247;47;LOJA;6062
15/01/2021;LOJA ;8053;247;47;LOJA;5951
14/01/2021;LOJA ;7973;247;47;LOJA;5918
13/01/2021;LOJA ;7962;247;47;LOJA;5908
12/01/2021;LOJA ;7933;247;17;LOJA;5886
11/01/2021;LOJA ;7889;247;47;LOJA;5848
10/01/2021;LOJA ;7835;247;47;LOJA;5806
09/01/2021;LOJA ;7822;247;47;LOJA;5795
08/01/2021;LOJA ;7788;247;47;LOJA;5775
07/01/2021;LOJA ;7748;247;47;LOJA;5751
06/01/2021;LOJA ;7743;246;47;LOJA;5747
05/01/2021;LOJA ;7719;246;47;LOJA;5726
04/01/2021;LOJA ;7714;246;47;LOJA;5721
03/01/2021;LOJA ;7669;246;47;LOJA;5703
02/01/2021;LOJA ;7654;246;47;LOJA;5688
01/01/2021;LOJA ;7638;246;47;LOJA;5679
31/12/2020;LOJA ;7592;246;47;LOJA;5650
