Fecha;Contagiados
25/02/2021;1892
24/02/2021;1892
23/02/2021;1889
22/02/2021;1886
21/02/2021;1884
20/02/2021;1883
19/02/2021;1882
18/02/2021;1880
17/02/2021;1879
16/02/2021;1875
15/02/2021;1871
14/02/2021;1869
13/02/2021;1864
12/02/2021;1863
11/02/2021;1862
10/02/2021;1861
09/02/2021;1856
08/02/2021;1852
07/02/2021;1851
06/02/2021;1846
05/02/2021;1845
04/02/2021;1841
03/02/2021;1836
02/02/2021;1831
01/02/2021;1821
31/01/2021;1821
30/01/2021;1821
29/01/2021;1821
28/01/2021;1821
27/01/2021;1821
26/01/2021;1821
25/01/2021;1821
24/01/2021;1821
23/01/2021;1819
22/01/2021;1819
21/01/2021;1819
20/01/2021;1818
19/01/2021;1817
18/01/2021;1816
17/01/2021;1816
16/01/2021;1815
15/01/2021;1814
14/01/2021;1813
13/01/2021;1812
12/01/2021;1811
11/01/2021;1810
10/01/2021;1806
09/01/2021;1805
08/01/2021;1802
07/01/2021;1795
06/01/2021;1789
05/01/2021;1764
04/01/2021;1755
03/01/2021;1745
02/01/2021;1739
01/01/2021;1734
31/12/2020;1734
30/12/2020;1734
29/12/2020;1733
28/12/2020;1733
27/12/2020;1733
26/12/2020;1733
25/12/2020;7132
24/12/2020;1731
23/12/2020;1730
22/12/2020;1729
21/12/2020;1728
20/12/2020;1727
19/12/2020;1726
18/12/2020;1725
17/12/2020;1724
16/12/2020;1723
15/12/2020;1722
14/12/2020;1721
13/12/2020;1720
12/12/2020;1719
11/12/2020;1717
10/12/2020;1716
09/12/2020;1713
08/12/2020;1712
07/12/2020;1711
06/12/2020;1710
05/12/2020;1706
04/12/2020;1705
03/12/2020;1702
02/12/2020;1701
01/12/2020;1698
30/11/2020;1696
29/11/2020;1691
28/11/2020;1689
27/11/2020;1685
26/11/2020;1682
25/11/2020;1681
24/11/2020;1679
23/11/2020;1675
22/11/2020;1672
21/11/2020;1671
20/11/2020;1659
19/11/2020;1658
18/11/2020;1657
17/11/2020;1652
16/11/2020;1651
15/11/2020;1648
14/11/2020;1645
13/11/2020;1641
12/11/2020;1639
11/11/2020;1635
10/11/2020;1631
09/11/2020;1630
08/11/2020;1628
07/11/2020;1627
06/11/2020;1625
05/11/2020;1625
04/11/2020;1624
03/11/2020;1623
02/11/2020;1621
01/11/2020;1620
31/10/2020;1615
30/10/2020;1599
29/10/2020;1596
28/10/2020;1594
27/10/2020;1593
26/10/2020;1591
25/10/2020;1589
24/10/2020;1583
23/10/2020;1581
22/10/2020;1579
21/10/2020;1576
20/10/2020;1572
19/10/2020;1571
18/10/2020;1559
17/10/2020;1551
16/10/2020;1549
15/10/2020;1546
14/10/2020;1543
13/10/2020;1542
12/10/2020;1523
11/10/2020;1521
10/10/2020;1521
09/10/2020;1520
08/10/2020;1516
07/10/2020;1514
06/10/2020;1513
05/10/2020;1512
04/10/2020;1510
03/10/2020;1499
02/10/1900;1497
01/10/2020;1496
30/09/2020;1496
29/09/2020;1579
28/09/2020;1567
27/09/2020;1563
26/09/2020;1459
25/09/2020;1458
24/09/2020;1452
23/09/2020;1445
22/09/2020;1439
21/09/2020;1435
20/09/2020;1431
19/09/2020;1430
18/09/2020;1429
17/09/2020;1425
16/09/2020;1421
15/09/2020;1420
14/09/2020;1419
13/09/2020;1417
12/09/2020;1416
11/09/2020;1415
10/09/2020;1410
09/09/2020;1409
08/09/2020;1405
07/09/2020;1401
06/09/2020;1399
05/09/2020;1395
04/09/2020;1392
03/09/2020;1391
02/09/2020;1385
01/09/2020;1384
31/08/2020;1362
30/08/2020;1345
29/08/2020;1310
28/08/2020;1302
27/08/2020;1289
26/08/2020;1225
25/08/2020;1210
24/08/2020;1159
23/08/2020;1119
22/08/2020;1118
21/08/2020;1078
20/08/2020;1050
19/08/2020;1030
18/08/2020;1020
17/08/2020;1010
16/08/2020;981
15/08/2020;973
14/08/2020;972
13/08/2020;971
12/08/2020;969
11/08/2020;961
10/08/2020;952
09/08/2020;945
08/08/2020;932
07/08/2020;929
06/08/2020;928
05/08/2020;927
04/08/2020;925
03/08/2020;920
02/08/1900;901
01/08/2020;900
31/07/2020;860
30/07/2020;815
29/07/2020;799
28/07/2020;796
27/07/2020;735
26/07/2020;715
25/07/2020;702
24/07/2020;701
23/07/2020;699
22/07/2020;678
21/07/2020;689
20/07/2020;625
19/07/2020;621
18/07/2020;620
17/07/2020;601
16/07/2020;569
15/07/2020;523
14/07/2020;511
13/07/2020;510
12/07/2020;489
11/07/2020;477
10/07/2020;455
09/07/2020;410
08/07/2020;345
07/07/2020;342
06/07/2020;340
05/07/2020;339
04/07/2020;335
03/07/2020;331
02/07/1900;330
01/07/2020;329
30/06/2020;322
29/06/2020;319
28/06/2020;318
27/06/2020;316
26/06/2020;315
25/06/2020;312
24/06/2020;311
23/06/2020;310
22/06/2020;289
21/06/2020;291
20/06/2020;289
19/06/2020;245
18/06/2020;230
17/06/2020;229
16/06/2020;225
15/06/2020;223
14/06/2020;201
13/06/2020;199
12/06/2020;189
11/06/2020;178
10/06/2020;145
09/06/2020;115
08/06/2020;102
07/06/2020;100
06/06/2020;98
05/06/2020;97
04/06/2020;95
03/06/2020;93
02/06/2020;92
01/06/2020;91
31/05/2020;82
30/05/2020;81
29/05/2020;81
28/05/2020;80
27/05/2020;80
26/05/2020;80
25/05/2020;80
24/05/2020;80
23/05/2020;79
22/05/2020;78
