Fecha;Contagiados;Muertos;Fallecidos Probables
26/02/2021;7761;454;121
25/02/2021;7715;450;121
24/02/2021;7589;450;121
23/02/2021;7364;448;120
22/02/2021;7347;448;120
21/02/2021;7347;448;120
20/02/2021;7318;444;120
19/02/2021;7277;435;120
18/02/2021;7230;435;120
17/02/2021;7162;432;120
16/02/2021;7162;432;120
15/02/2021;7162;432;120
14/02/2021;7162;432;120
13/02/2021;7093;432;120
12/02/2021;7083;429;120
11/02/2021;7073;429;120
10/02/2021;7049;428;120
09/02/2021;7048;421;119
08/02/2021;7036;419;119
07/02/2021;7036;419;119
06/02/2021;7001;418;118
05/02/2021;6992;417;118
04/02/2021;6835;417;118
03/02/2021;6833;416;118
02/02/2021;6785;414;118
01/02/2021;6784;414;118
31/01/2020;6783;414;118
30/01/2020;6,735;412;118
29/01/2020;6,704;407;118
28/01/2021;6617;402;118
27/01/2021;6614;401;118
26/01/2021;6610;401;118
25/01/2021;6609;401;118
24/01/2021;6456;401;118
23/01/2021;6447;401;118
22/01/2021;6429;401;118
21/01/2021;6416;398;118
20/01/2021;6357;398;118
19/01/2021;6357;398;117
18/01/2021;6352;393;117
17/01/2021;6352;393;117
16/01/2021;6340;393;117
15/01/2021;6185;387;117
14/01/2021;6184;386;117
13/01/2021;6151;385;117
12/01/2021;6123;385;117
11/01/2021;6074;385;117
10/01/2021;6074;385;116
09/01/2021;6074;385;116
08/01/2021;6043;384;116
07/01/2021;6042;384;116
06/01/2021;6040;384;116
05/01/2021;5968;381;116
04/01/2021;5391;379;116
03/01/2021;5929;376;116
02/01/2021;5929;379;116
01/01/2021;5915;379;116
31/12/2020;5914;374;116
30/12/2020;5873;374;116
29/12/2020;5821;374;116
28/12/2020;5821;374;118
27/12/2020;5821;374;116
26/12/2020;5821;374;116
25/12/2020;5820;374;116
24/12/2020;5799;373;116
23/12/2020;3785;373;116
22/12/2020;5777;373;116
21/12/2020;5777;373;116
20/12/2020;5777;373;116
19/12/2020;5776;373;116
18/12/2020;5768;373;116
17/12/2020;5763;373;116
16/12/2020;5756;373;116
15/12/2020;5744;371;116
14/12/2020;5744;371;116
13/12/2020;5743;371;116
12/12/2020;5722;371;116
11/12/2020;5711;371;116
10/12/2020;5701;371;116
09/12/2020;5697;371;116
08/12/2020;6892;371;116
07/12/2020;5896;371;116
06/12/2020;5842;371;116
05/12/2020;5823;371;116
04/12/2020;5721;369;116
03/12/2020;5715;369;116
02/12/2020;5687;369;116
01/12/2020;5631;367;116
30/11/2020;5628;367;116
29/11/2020;5515;367;116
28/11/2020;5513;367;116
27/11/2020;5510;367;116
26/11/2020;5509;367;116
25/11/2020;5502;367;116
24/11/2020;5496;367;116
23/11/2020;5493;367;116
22/11/2020;5489;367;116
21/11/2020;5479;367;116
20/11/2020;5475;367;116
19/11/2020;5459;367;116
18/11/2020;5447;367;116
17/11/2020;5439;367;116
16/11/2020;5435;367;116
15/11/2020;5423;367;116
14/11/2020;5420;365;116
13/11/2020;5412;365;116
12/11/2020;5401;365;116
11/11/2020;5395;365;116
10/11/2020;5389;364;116
09/11/2020;5379;364;116
08/11/2020;5374;364;116
07/11/2020;5369;364;116
06/11/2020;5367;364;116
05/11/2020;5360;362;116
04/11/2020;5344;362;116
03/11/2020;5324;362;116
02/11/2020;5295;362;116
01/11/2020;5293;361;116
31/10/2020;5274;361;116
30/10/2020;5271;359;116
29/10/2020;5255;359;116
28/10/2020;5250;359;116
27/10/2020;5245;359;116
26/10/2020;5210;357;116
25/10/2020;5178;357;116
24/10/2020;5169;355;116
23/10/2020;5160;355;116
22/10/2020;5156;355;116
