Fecha;Contagiados
25/02/2021;6688
24/02/2021;6674
23/02/2021;6578
22/02/2021;6539
21/02/2021;6510
20/02/2021;6487
19/02/2021;6401
18/02/2021;6345
17/02/2021;6275
16/02/2021;6260
15/02/2021;6259
14/02/2021;6255
13/02/2021;6245
12/02/2021;6210
11/02/2021;6189
10/02/2021;6147
09/02/2021;6115
08/02/2021;6102
07/02/2021;5987
06/02/2021;5974
05/02/2021;5950
04/02/2021;5901
03/02/2021;5890
02/02/2021;5840
01/02/2021;5820
31/01/2021;5819
30/01/2021;5810
29/01/2021;5804
28/01/2021;5794
27/01/2021;5789
26/01/2021;5769
25/01/2021;5755
24/01/2021;5748
23/01/2021;5732
22/01/2021;5728
21/01/2021;5710
20/01/2021;5678
19/01/2021;5639
18/01/2021;5620
17/01/2021;5599
16/01/2021;5589
15/01/2021;5548
14/01/2021;5415
13/01/2021;5410
12/01/2021;5374
11/01/2021;5350
10/01/2021;5345
09/01/2021;5310
08/01/2021;5286
07/01/2021;5276
06/01/2021;5256
05/01/2021;5210
04/01/2021;5189
03/01/2021;5150
02/01/2021;5110
01/01/2021;5073
31/12/2020;5072
30/12/2020;5069
29/12/2020;5062
28/12/2020;5059
27/12/2020;5053
26/12/2020;5051
25/12/2020;5049
24/12/2020;5047
23/12/2020;5023
22/12/2020;5015
21/12/2020;5010
20/12/2020;4999
19/12/2020;4998
18/12/2020;4993
17/12/2020;4991
16/12/2020;4989
15/12/2020;4986
14/12/2020;4981
13/12/2020;4978
12/12/2020;4971
11/12/2020;4968
10/12/2020;4959
09/12/2020;4958
08/12/2020;4955
07/12/2020;4951
06/12/2020;4945
05/12/2020;4941
04/12/2020;4936
03/12/2020;4930
02/12/2020;4815
01/12/2020;4814
30/11/2020;4811
29/11/2020;4810
28/11/2020;4805
27/11/2020;4801
26/11/2020;4799
25/11/2020;4796
24/11/2020;4789
23/11/2020;4765
22/11/2020;4715
21/11/2020;4691
20/11/2020;4689
19/11/2020;4653
18/11/2020;4651
17/11/2020;4601
16/11/2020;4589
15/11/2020;4583
14/11/2020;4581
13/11/2020;4578
12/11/2020;4571
11/11/2020;4569
10/11/2020;4567
09/11/2020;4562
08/11/2020;4559
07/11/2020;4558
06/11/2020;4551
05/11/2020;4545
04/11/2020;4535
03/11/2020;4515
02/11/2020;4510
01/11/2020;4494
31/10/2020;4477
30/10/2020;4459
29/10/2020;4452
28/10/2020;4451
27/10/2020;4441
26/10/2020;4439
25/10/2020;4438
24/10/2020;4436
23/10/2020;4432
22/10/2020;4420
21/10/2020;4415
20/10/2020;4412
19/10/2020;4401
18/10/2020;4397
17/10/2020;4395
16/10/2020;4391
15/10/2020;4389
14/10/2020;4385
13/10/2020;7381
12/10/2020;4379
11/10/2020;4376
10/10/2020;4371
09/10/2020;4251
08/10/2020;4245
07/10/2020;4236
06/10/2020;4211
05/10/2020;4159
04/10/2020;4155
03/10/2020;4140
02/10/1900;4139
01/10/2020;4138
30/09/2020;4126
29/09/2020;4112
28/09/2020;4099
27/09/2020;4080
26/09/2020;4078
25/09/2020;4076
24/09/2020;4050
23/09/2020;4001
22/09/2020;3998
21/09/2020;3991
20/09/2020;3989
19/09/2020;3978
18/09/2020;3964
17/09/2020;3955
16/09/2020;3946
15/09/2020;3925
14/09/2020;3915
13/09/2020;3910
12/09/2020;3891
11/09/2020;3879
10/09/2020;3869
09/09/2020;3861
08/09/2020;3859
07/09/2020;3855
06/09/2020;3845
05/09/2020;3815
04/09/2020;3810
03/09/2020;3795
02/09/2020;3789
01/09/2020;3764
31/08/2020;3756
30/08/2020;5751
29/08/2020;5742
28/08/2020;5710
27/08/2020;5699
26/08/2020;5645
25/08/2020;5635
24/08/2020;5625
23/08/2020;5612
22/08/2020;3596
21/08/2020;3589
20/08/2020;3580
19/08/2020;3515
18/08/2020;3510
17/08/2020;3489
16/08/2020;3410
15/08/2020;3356
14/08/2020;3345
13/08/2020;3310
12/08/2020;3255
11/08/2020;3245
10/08/2020;3230
09/08/2020;3226
08/08/2020;3221
07/08/2020;3156
06/08/2020;3145
05/08/2020;3115
04/08/2020;3089
03/08/2020;3045
02/08/1900;3041
01/08/2020;3031
31/07/2020;3026
30/07/2020;3021
29/07/2020;2999
28/07/2020;2996
27/07/2020;2991
26/07/2020;2885
25/07/2020;2881
24/07/2020;2775
23/07/2020;2774
22/07/2020;2678
21/07/2020;2614
20/07/2020;2564
19/07/2020;2225
18/07/2020;1999
17/07/2020;1997
16/07/2020;1996
15/07/2020;1956
14/07/2020;1945
13/07/2020;1956
12/07/2020;1955
11/07/2020;1945
10/07/2020;1855
09/07/2020;1845
08/07/2020;1830
07/07/2020;1825
06/07/2020;1811
05/07/2020;1766
04/07/2020;1765
03/07/2020;1725
02/07/1900;1709
01/07/2020;1708
30/06/2020;1670
29/06/2020;1655
28/06/2020;1599
27/06/2020;1591
26/06/2020;1582
25/06/2020;1576
24/06/2020;1570
23/06/2020;1559
22/06/2020;1542
21/06/2020;1511
20/06/2020;1510
19/06/2020;1491
18/06/2020;1486
17/06/2020;1480
16/06/2020;1476
15/06/2020;1470
14/06/2020;1459
13/06/2020;1458
12/06/2020;1449
11/06/2020;1445
10/06/2020;1341
09/06/2020;1255
08/06/2020;1245
07/06/2020;1150
06/06/2020;1025
05/06/2020;1010
04/06/2020;999
03/06/2020;995
02/06/2020;990
01/06/2020;983
31/05/2020;949
30/05/2020;910
29/05/2020;899
28/05/2020;896
27/05/2020;851
26/05/2020;845
25/05/2020;830
24/05/2020;825
23/05/2020;820
22/05/2020;815
21/05/2020;711
20/05/2020;679
19/05/2020;678
18/05/2020;645
17/05/2020;612
16/05/2020;612
15/05/2020;540
14/05/2020;516
13/05/2020;512
12/05/2020;511
11/05/2020;451
10/05/2020;472
09/05/2020;455
08/05/2020;410
07/05/2020;355
06/05/2020;350
05/05/2020;315
04/05/2020;312
03/05/2020;230
02/05/1900;225
01/05/2020;222
30/04/2020;180
29/04/2020;178
28/04/2020;141
27/04/2020;115
26/04/2020;120
25/04/2020;116
24/04/2020;115
23/04/2020;112
22/04/2020;110
21/04/2020;98
20/04/2020;97
19/04/2020;96
18/04/2020;91
17/04/2020;89
16/04/2020;88
15/04/2020;85
14/04/2020;81
13/04/2020;79
12/04/2020;78
11/04/2020;75
10/04/2020;72
09/04/2020;71
08/04/2020;69
07/04/2020;59
06/04/2020;47
05/04/2020;45
04/04/2020;25
03/04/2020;21
02/04/2020;18
01/04/2020;16
31/03/2020;15
30/03/2020;15
29/03/2020;15
28/03/2020;15
27/03/2020;15
26/03/2020;15
25/03/2020;15
24/03/2020;15
23/03/2020;15
22/03/2020;15
21/03/2020;10
20/03/2020;10
19/03/2020;5
18/03/2020;5
17/03/2020;5
16/03/2020;5
15/03/2020;1
14/03/2020;1
13/03/2020;1
