Fecha;Contagiados;Muertos;Fallecidos Probables;;;
26/02/2021;3380;109;3;;;
25/02/2021;3377;109;3;;;
24/02/2021;3352;109;3;;;
23/02/2021;3347;109;3;;;
22/02/2021;3344;108;3;;;
21/02/2021;3343;108;3;;;
20/02/2021;3328;108;3;;;
19/02/2021;3313;108;3;;;
18/02/2021;3312;108;3;;;
17/02/2021;3312;108;3;;;
16/02/2021;3312;108;3;;;
15/02/2021;3312;108;3;;;
14/02/2021;3312;108;3;;;
13/02/2021;3310;108;3;;;
12/02/2021;3305;108;3;;;
11/02/2021;3302;108;3;;;
10/02/2021;3292;108;3;;;
09/02/2021;3290;108;3;;;
08/02/2021;3278;108;3;;;
07/02/2021;3278;108;3;;;
06/02/2021;3267;108;3;;;
05/02/2021;3261;108;3;;;
04/02/2021;3256;108;3;;;
03/02/2021;3245;108;3;;;
02/02/2021;3241;108;3;;;
01/02/2021;3241;108;3;;;
31/01/2020;3241;108;3;;;
30/01/2020;3234;108;3;;;
29/01/2020;3232;108;3;;;
28/01/2021;3230;108;3;;;
27/01/2021;3194;108;3;;;
26/01/2021;3194;107;3;;;
25/01/2021;3183;107;3;;;
24/01/2021;3183;107;3;;;
23/01/2021;3159;106;3;;;
22/01/2021;3157;106;3;;;
21/01/2021;3157;106;3;;;
20/01/2021;3143;102;3;;;
19/01/2021;3138;102;3;;;
18/01/2021;3092;101;3;;;
17/01/2021;3092;101;3;;;
16/01/2021;3092;101;3;;;
15/01/2021;3085;101;3;;;
14/01/2021;3083;101;3;;;
13/01/2021;3075;101;3;;;
12/01/2021;3063;101;3;;;
11/01/2021;3236;100;3;;;
10/01/2021;3060;100;3;;;
09/01/2021;3042;100;3;;;
08/01/2021;3041;100;3;;;
07/01/2021;3036;100;3;;;
06/01/2021;3035;99;3;;;
05/01/2021;3034;98;3;;;
04/01/2021;3033;98;3;;;
03/01/2021;3032;98;3;;;
02/01/2021;3030;98;3;;;
01/01/2021;3011;98;3;;;
31/12/2020;3009;98;3;;;
30/12/2020;3008;98;3;;;
29/12/2020;2997;98;3;;;
28/12/2020;2997;98;3;;;
