Fecha;Contagiados;Muertos;Fallecidos Probables
26/02/2021;10158;432;326
25/02/2021;10140;431;326
24/02/2021;10031;431;327
23/02/2021;9906;430;327
22/02/2021;9900;430;327
21/02/2021;9855;430;327
20/02/2021;9814;430;327
19/02/2021;9790;430;327
18/02/2021;9752;425;327
17/02/2021;9740;423;326
16/02/2021;9738;423;326
15/02/2021;9738;423;326
14/02/2021;9737;423;326
13/02/2021;9687;423;326
12/02/2021;9635;414;326
11/02/2021;9621;409;326
10/02/2021;9522;408;326
09/02/2021;9485;407;326
08/02/2021;9472;404;326
07/02/2021;9472;404;326
06/02/2021;9440;404;326
05/02/2021;9454;404;326
04/02/2021;9,206;403;326
03/02/2021;9161;402;326
02/02/2021;9131;401;326
01/02/2021;9099;401;326
31/01/2020;9094;390;322
30/01/2020;9082;389;322
29/01/2020;9003;389;320
28/01/2021;8941;387;320
27/01/2021;8875;387;319
26/01/2021;8776;386;316
25/01/2021;8775;380;315
24/01/2021;8775;380;314
23/01/2021;8666;373;314
22/01/2021;8618;373;314
21/01/2021;8064;373;314
20/01/2021;8424;369;312
19/01/2021;8392;357;312
18/01/2021;8354;353;312
17/01/2021;8311;535;312
16/01/2021;8306;353;312
15/01/2021;8099;351;312
14/01/2021;8047;351;311
13/01/2021;7895;351;311
12/01/2021;7931;350;310
11/01/2021;7922;350;310
10/01/2021;7875;350;310
09/01/2021;7856;350;310
08/01/2021;7774;350;309
07/01/2021;7737;350;309
06/01/2021;7689;350;309
05/01/2021;7627;345;301
04/01/2021;7590;341;300
03/01/2021;7578;341;300
02/01/2021;7576;341;300
01/01/2021;7518;341;300
31/12/2020;7453;341;300
30/12/2020;7396;341;300
29/12/2020;7336;340;300
28/12/2020;7328;340;300
27/12/2020;7322;340;300
26/12/2020;7315;340;300
25/12/2020;7269;340;300
24/12/2020;7226;340;300
23/12/2020;7162;340;300
22/12/2020;7148;340;300
21/12/2020;7148;340;300
20/12/2020;7148;340;299
19/12/2020;7146;340;299
18/12/2020;7107;340;299
17/12/2020;7061;340;299
16/12/2020;7044;340;298
15/12/2020;6974;339;297
14/12/2020;6971;339;297
13/12/2020;6971;339;297
12/12/2020;6965;339;297
11/12/2020;6931;339;297
10/12/2020;6931;339;297
09/12/2020;6894;339;295
08/12/2020;6892;336;294
07/12/2020;6892;336;294
06/12/2020;6892;336;294
05/12/2020;6885;336;294
04/12/2020;6830;336;294
03/12/2020;6827;318;290
02/12/2020;6759;97;283
01/12/2020;6675;299;283
30/11/2020;6673;293;281
29/11/2020;5642;293;281
28/11/2020;5597;293;281
27/11/2020;5593;293;281
26/11/2020;5591;293;281
25/11/2020;5586;293;281
24/11/2020;5579;293;281
23/11/2020;5578;292;281
22/11/2020;5556;292;268
21/11/2020;5547;290;224
20/11/2020;5536;289;224
19/11/2020;5521;289;224
18/11/2020;5510;289;224
17/11/2020;5479;286;224
16/11/2020;5476;282;224
15/11/2020;5456;282;224
14/11/2020;5436;282;224
13/11/2020;5425;282;224
12/11/2020;5420;282;223
11/11/2020;5396;282;223
10/11/2020;5380;279;223
09/11/2020;5369;279;223
08/11/2020;5367;279;223
07/11/2020;2360;279;223
06/11/2020;5235;279;223
05/11/2020;5230;279;223
04/11/2020;5226;279;223
03/11/2020;5125;279;223
02/11/2020;5120;279;223
01/11/2020;5119;276;223
31/10/2020;5114;276;223
30/10/2020;5114;276;221
29/10/2020;5113;276;215
28/10/2020;5113;276;215
27/10/2020;5112;276;215
26/10/2020;5112;276;215
25/10/2020;5090;276;215
24/10/2020;5089;276;215
23/10/2020;5089;276;215
22/10/2020;5074;276;215
21/10/2020;5030;276;215
20/10/2020;5026;276;215
19/10/2020;5011;276;215
18/10/2020;4978;276;215
17/10/2020;4978;276;215
16/10/2020;4959;273;201
15/10/2020;4957;273;201
14/10/2020;4955;273;201
13/10/2020;4923;266;201
12/10/2020;4921;266;201
11/10/2020;4897;266;201
10/10/2020;4861;265;201
09/10/2020;4857;263;201
08/10/2020;4844;263;199
07/10/2020;4835;263;199
06/10/2020;4821;263;199
05/10/2020;4793;263;199
04/10/2020;4790;263;199
03/10/2020;4785;263;199
02/10/1900;4780;263;199
01/10/2020;4735;263;199
30/09/2020;4708;250;199
29/09/2020;3705;250;199
28/09/2020;3702;250;199
27/09/2020;3701;250;199
26/09/2020;3697;250;199
25/09/2020;3694;250;199
24/09/2020;3689;250;199
23/09/2020;3678;245;199
22/09/2020;3635;245;199
21/09/2020;3614;245;199
20/09/2020;3605;245;199
19/09/2020;3592;245;199
18/09/2020;3578;245;199
17/09/2020;3541;245;199
16/09/2020;3512;240;199
15/09/2020;3501;240;199
14/09/2020;3479;240;199
13/09/2020;3475;240;199
12/09/2020;3469;218;199
11/09/2020;3460;218;199
10/09/2020;3425;218;199
09/09/2020;3420;218;199
08/09/2020;3415;218;199
07/09/2020;3410;218;-
06/09/2020;3401;218;-
05/09/2020;3399;218;-
04/09/2020;3394;218;-
03/09/2020;3380;218;-
02/09/2020;3375;218;-
01/09/2020;3370;217;-
31/08/2020;3348;217;-
30/08/2020;3339;217;-
29/08/2020;3326;217;-
28/08/2020;3278;217;-
27/08/2020;3145;217;-
26/08/2020;3101;217;-
25/08/2020;2978;217;-
24/08/2020;2915;217;-
23/08/2020;2910;217;-
22/08/2020;2863;217;-
21/08/2020;2859;217;-
20/08/2020;2814;217;-
19/08/2020;2745;217;-
18/08/2020;2710;210;-
17/08/2020;2678;210;-
16/08/2020;2648;209;-
15/08/2020;2555;209;-
14/08/2020;2548;185;-
13/08/2020;2518;185;-
12/08/2020;2485;185;-
11/08/2020;2478;185;-
10/08/2020;2415;185;-
09/08/2020;2396;185;-
08/08/2020;2350;185;-
07/08/2020;2245;185;-
06/08/2020;2240;185;-
05/08/2020;2186;185;-
04/08/2020;2180;171;-
03/08/2020;2155;171;-
02/08/1900;2150;171;-
01/08/2020;2147;171;-
31/07/2020;2083;168;-
30/07/2020;2021;168;-
29/07/2020;1955;168;-
28/07/2020;1915;168;-
27/07/2020;1911;168;-
26/07/2020;1859;168;-
25/07/2020;1855;168;-
24/07/2020;1845;168;-
23/07/2020;1815;168;-
22/07/2020;1811;120;-
21/07/2020;1789;120;-
20/07/2020;1784;120;-
19/07/2020;1781;120;-
18/07/2020;1699;120;-
17/07/2020;1689;120;-
16/07/2020;1669;119;-
15/07/2020;1559;118;-
14/07/2020;1455;116;-
13/07/2020;1396;115;-
12/07/2020;1285;110;-
11/07/2020;1225;107;-
10/07/2020;1211;107;-
09/07/2020;1035;107;-
08/07/2020;1030;107;-
07/07/2020;1027;107;-
06/07/2020;1026;107;-
05/07/2020;1026;107;-
04/07/2020;1025;107;-
03/07/2020;1022;107;-
02/07/1900;1021;107;-
01/07/2020;1022;107;-
30/06/2020;1022;107;-
29/06/2020;1015;107;-
28/06/2020;1011;107;-
27/06/2020;999;107;-
26/06/2020;981;107;-
25/06/2020;974;105;-
24/06/2020;966;101;-
23/06/2020;961;95;-
22/06/2020;954;80;-
21/06/2020;948;77;-
20/06/2020;945;77;-
19/06/2020;931;77;-
18/06/2020;922;77;-
17/06/2020;901;77;-
16/06/2020;899;77;-
15/06/2020;850;77;-
14/06/2020;845;77;-
13/06/2020;810;77;-
12/06/2020;720;77;-
11/06/2020;715;68;-
10/06/2020;710;68;-
09/06/2020;620;68;-
08/06/2020;615;68;-
07/06/2020;601;68;-
06/06/2020;570;68;-
05/06/2020;569;68;-
04/06/2020;561;68;-
03/06/2020;555;68;-
02/06/2020;540;68;-
01/06/2020;513;68;-
31/05/2020;477;68;-
30/05/2020;466;68;-
29/05/2020;455;68;-
28/05/2020;431;68;-
27/05/2020;430;68;-
26/05/2020;429;68;-
25/05/2020;421;68;-
24/05/2020;420;68;-
23/05/2020;415;68;-
22/05/2020;410;68;-
21/05/2020;406;68;-
20/05/2020;405;50;-
19/05/2020;402;45;-
18/05/2020;401;45;-
17/05/2020;399;45;-
16/05/2020;395;45;-
15/05/2020;345;45;-
14/05/2020;335;45;-
13/05/2020;329;45;-
12/05/2020;325;45;-
11/05/2020;321;45;-
10/05/2020;286;45;-
09/05/2020;245;45;-
08/05/2020;236;45;-
07/05/2020;225;19;-
06/05/2020;205;19;-
05/05/2020;201;19;-
04/05/2020;199;19;-
03/05/2020;195;19;-
02/05/1900;190;19;-
01/05/2020;189;19;-
30/04/2020;170;17;-
29/04/2020;170;17;-
28/04/2020;169;17;-
27/04/2020;162;17;-
26/04/2020;159;17;-
25/04/2020;155;17;-
24/04/2020;145;17;-
23/04/2020;139;17;-
22/04/2020;130;17;-
21/04/2020;121;-;-
20/04/2020;115;-;-
19/04/2020;109;-;-
18/04/2020;102;-;-
17/04/2020;101;-;-
16/04/2020;91;-;-
15/04/2020;89;-;-
14/04/2020;78;-;-
13/04/2020;61;-;-
12/04/2020;59;-;-
11/04/2020;51;-;-
10/04/2020;45;-;-
09/04/2020;41;-;-
08/04/2020;39;-;-
07/04/2020;31;-;-
06/04/2020;25;-;-
05/04/2020;22;-;-
04/04/2020;19;-;-
03/04/2020;16;-;-
02/04/2020;14;-;-
01/04/2020;10;-;-
31/03/2020;9;-;-
30/03/2020;9;-;-
29/03/2020;9;-;-
28/03/2020;9;-;-
27/03/2020;9;-;-
26/03/2020;9;-;-
25/03/2020;3;-;-
24/03/2020;3;-;-
23/03/2020;3;-;-
22/03/2020;3;-;-
21/03/2020;3;-;-
20/03/2020;3;-;-
19/03/2020;3;-;-
18/03/2020;3;-;-
17/03/2020;3;-;-
16/03/2020;3;-;-
15/03/2020;3;-;-
14/03/2020;3;-;-
13/03/2020;3;-;-
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
