Fecha;Contagiados;Muertos;Fallecidos Probables
26/02/2021;1911;60;1
25/02/2021;1904;59;1
24/02/2021;1900;59;1
23/02/2021;1885;59;1
22/02/2021;1884;59;1
21/02/2021;1877;59;1
20/02/2021;1862;59;1
19/02/2021;1857;59;1
18/02/2021;1857;58;1
17/02/2021;1854;58;1
16/02/2021;1854;58;1
15/02/2021;1852;58;1
14/02/2021;1850;58;1
13/02/2021;1844;58;1
12/02/2021;1840;58;1
11/02/2021;1826;58;1
10/02/2021;1824;58;1
09/02/2021;1819;58;1
08/02/2021;1819;58;1
07/02/2021;1816;58;1
06/02/2021;1816;58;1
05/02/2021;1810;58;1
04/02/2021;1800;58;1
03/02/2021;1799;58;1
02/02/2021;1797;58;1
01/02/2021;1796;58;1
31/12/2020;1974;58;1
30/12/2020;1791;58;1
29/12/2020;1777;58;1
28/01/2021;1775;58;1
27/01/2021;1762;58;1
26/01/2021;1762;58;1
25/01/2021;1762;58;1
24/01/2021;1757;58;1
23/01/2021;1736;58;1
22/01/2021;1735;58;1
21/01/2021;1735;58;1
20/01/2021;1721;58;1
19/01/2021;1721;58;1
18/01/2021;1720;58;1
17/01/2021;1719;58;1
16/01/2021;1715;58;1
15/01/2021;1704;57;1
14/01/2021;1697;57;1
13/01/2021;1693;57;1
12/01/2021;1663;57;1
11/01/2021;1663;57;1
10/01/2021;1653;57;1
09/01/2021;1688;57;1
08/01/2021;1680;57;1
07/01/2021;1679;56;1
06/01/2021;1679;56;1
05/01/2021;1678;56;1
04/01/2021;1678;56;1
03/01/2021;1673;56;1
02/01/2021;1672;56;1
01/01/2021;1671;56;1
31/12/2020;1669;56;1
30/12/2020;1667;56;1
29/12/2020;1664;56;1
28/12/2020;1655;55;1
27/12/2020;1655;55;1
26/12/2020;1653;55;1
25/12/2020;1653;55;1
24/12/2020;1648;55;1
23/12/2020;1639;55;1
22/12/2020;1638;55;1
21/12/2020;1638;55;1
20/12/2020;1638;55;1
19/12/2020;1638;55;1
18/12/2020;1637;55;1
17/12/2020;1636;55;1
16/12/2020;1636;55;1
15/12/2020;1628;55;1
14/12/2020;1628;55;1
13/12/2020;1628;55;1
12/12/2020;1625;54;1
11/12/2020;1624;54;1
10/12/2020;1623;54;1
09/12/2020;1622;54;1
08/12/2020;1621;54;1
07/12/2020;1621;54;1
06/12/2020;1612;54;1
05/12/2020;1615;54;1
04/12/2020;1613;54;1
03/12/2020;1612;54;1
02/12/2020;1610;54;1
01/12/2020;1610;54;1
30/11/2020;1610;54;1
29/11/2020;1609;54;1
28/11/2020;1609;54;1
27/11/2020;1608;54;1
26/11/2020;1608;54;1
25/11/2020;1606;54;1
24/11/2020;1605;53;1
23/11/2020;1604;53;1
22/11/2020;1603;53;1
21/11/2020;1602;53;1
20/11/2020;1601;53;1
19/11/2020;1600;53;1
18/11/2020;1599;53;1
17/11/2020;1598;53;1
16/11/2020;1597;53;1
15/11/2020;1596;53;1
14/11/2020;1594;53;1
13/11/2020;1593;53;1
12/11/2020;1592;53;1
11/11/2020;1592;53;1
10/11/2020;1591;53;1
09/11/2020;1589;53;1
08/11/2020;1587;53;1
07/11/2020;1586;53;1
06/11/2020;1584;53;1
05/11/2020;1583;53;1
04/11/2020;1583;53;1
03/11/2020;1582;53;1
02/11/2020;1580;53;1
01/11/2020;1580;53;1
31/10/2020;1577;53;1
30/10/2020;1572;53;1
29/10/2020;1570;53;1
28/10/2020;1568;53;1
27/10/2020;1567;53;1
26/10/2020;1565;53;1
25/10/2020;1563;53;1
24/10/2020;1562;53;1
23/10/2020;1559;53;1
22/10/2020;1558;53;1
21/10/2020;1557;53;1
20/10/2020;1551;53;1
19/10/2020;1549;53;1
18/10/2020;1547;53;1
17/10/2020;1546;53;1
16/10/2020;1542;53;1
15/10/2020;1535;53;1
14/10/2020;1532;53;1
13/10/2020;1530;53;1
12/10/2020;1527;53;1
11/10/2020;1525;53;1
10/10/2020;1520;53;1
09/10/2020;1515;53;1
08/10/2020;1510;53;1
07/10/2020;1509;51;1
06/10/2020;1507;51;1
05/10/2020;1502;51;1
04/10/2020;1501;51;1
03/10/2020;1499;51;1
02/10/1900;1498;51;1
01/10/2020;1495;51;1
30/09/2020;1489;50;-
29/09/2020;1483;50;-
28/09/2020;1480;50;-
27/09/2020;1469;50;-
26/09/2020;1467;50;-
25/09/2020;1465;50;-
24/09/2020;1460;50;-
23/09/2020;1457;50;-
22/09/2020;1455;50;-
21/09/2020;1428;50;-
20/09/2020;1415;50;-
19/09/2020;1403;50;-
18/09/2020;1395;50;-
17/09/2020;1394;50;-
16/09/2020;1378;50;-
15/09/2020;1374;50;-
14/09/2020;1315;45;-
13/09/2020;1301;45;-
12/09/2020;1289;45;-
11/09/2020;1286;45;-
10/09/2020;1284;44;-
09/09/2020;1279;43;-
08/09/2020;1274;42;-
07/09/2020;1269;42;-
06/09/2020;1261;42;-
05/09/2020;1259;42;-
04/09/2020;1254;42;-
03/09/2020;1245;42;-
02/09/2020;1240;42;-
01/09/2020;1234;42;-
31/08/2020;1232;42;-
30/08/2020;1231;42;-
29/08/2020;1230;42;-
28/08/2020;1230;42;-
27/08/2020;1230;42;-
26/08/2020;1229;42;-
25/08/2020;1228;42;-
24/08/2020;1227;42;-
23/08/2020;1225;42;-
22/08/2020;1224;42;-
21/08/2020;1220;42;-
20/08/2020;1219;42;-
19/08/2020;1214;42;-
18/08/2020;1211;42;-
17/08/2020;1210;40;-
16/08/2020;1196;40;-
15/08/2020;1185;40;-
14/08/2020;1180;39;-
13/08/2020;1178;39;-
12/08/2020;1159;39;-
11/08/2020;1157;39;-
10/08/2020;1150;39;-
09/08/2020;1148;39;-
08/08/2020;1115;39;-
07/08/2020;1070;37;-
06/08/2020;1045;37;-
05/08/2020;1010;37;-
04/08/2020;1012;37;-
03/08/2020;998;37;-
02/08/1900;980;37;-
01/08/2020;978;34;-
31/07/2020;945;34;-
30/07/2020;940;34;-
29/07/2020;930;34;-
28/07/2020;920;34;-
27/07/2020;915;34;-
26/07/2020;912;34;-
25/07/2020;890;34;-
24/07/2020;888;34;-
23/07/2020;875;34;-
22/07/2020;870;34;-
21/07/2020;814;34;-
20/07/2020;750;25;-
19/07/2020;745;25;-
18/07/2020;740;25;-
17/07/2020;714;25;-
16/07/2020;690;25;-
15/07/2020;685;25;-
14/07/2020;655;25;-
13/07/2020;640;25;-
12/07/2020;635;19;-
11/07/2020;630;19;-
10/07/2020;618;19;-
09/07/2020;614;19;-
08/07/2020;595;19;-
07/07/2020;590;17;-
06/07/2020;586;16;-
05/07/2020;580;16;-
04/07/2020;570;16;-
03/07/2020;556;16;-
02/07/1900;550;16;-
01/07/2020;544;16;-
30/06/2020;536;16;-
29/06/2020;520;16;-
28/06/2020;519;16;-
27/06/2020;518;16;-
26/06/2020;516;16;-
25/06/2020;515;16;-
24/06/2020;510;16;-
23/06/2020;498;16;-
22/06/2020;495;16;-
21/06/2020;491;16;-
20/06/2020;486;16;-
19/06/2020;479;16;-
18/06/2020;458;16;-
17/06/2020;451;16;-
16/06/2020;447;16;-
