Fecha;Contagiados
25/02/2021;672
24/02/2021;672
23/02/2021;672
22/02/2021;672
21/02/2021;672
20/02/2021;672
19/02/2021;672
18/02/2021;672
17/02/2021;671
16/02/2021;661
15/02/2021;659
14/02/2021;655
13/02/2021;651
12/02/2021;649
11/02/2021;645
10/02/2021;642
09/02/2021;641
08/02/2021;639
07/02/2021;635
06/02/2021;631
05/02/2021;630
04/02/2021;629
03/02/2021;627
02/02/2021;626
01/02/2021;625
31/01/2021;624
30/01/2021;624
29/01/2021;624
28/01/2021;624
27/01/2021;624
26/01/2021;624
25/01/2021;622
24/01/2021;621
23/01/2021;620
22/01/2021;618
21/01/2021;617
20/01/2021;616
19/01/2021;615
18/01/2021;613
17/01/2021;612
16/01/2021;611
15/01/2021;610
14/01/2021;607
13/01/2021;605
12/01/2021;602
11/01/2021;601
10/01/2021;599
09/01/2021;592
08/01/2021;589
07/01/2021;586
06/01/2021;582
05/01/2021;580
04/01/2021;579
03/01/2021;575
02/01/2021;571
01/01/2021;571
31/12/2020;569
30/12/2020;569
29/12/2020;569
28/12/2020;569
27/12/2020;569
26/12/2020;569
25/12/2020;569
24/12/2020;569
23/12/2020;569
22/12/2020;568
21/12/2020;567
20/12/2020;566
19/12/2020;560
18/12/2020;560
17/12/2020;560
16/12/2020;560
15/12/2020;560
14/12/2020;560
13/12/2020;560
12/12/2020;560
11/12/2020;560
10/12/2020;560
09/12/2020;560
08/12/2020;560
07/12/2020;560
06/12/2020;560
05/12/2020;560
04/12/2020;559
03/12/2020;558
02/12/2020;557
01/12/2020;556
30/11/2020;556
29/11/2020;556
28/11/2020;556
27/11/2020;556
26/11/2020;556
25/11/2020;556
24/11/2020;556
23/11/2020;556
22/11/2020;556
21/11/2020;556
20/11/2020;556
19/11/2020;556
18/11/2020;556
17/11/2020;556
16/11/2020;554
15/11/2020;555
14/11/2020;552
13/11/2020;552
12/11/2020;552
11/11/2020;552
10/11/2020;552
09/11/2020;552
08/11/2020;552
07/11/2020;552
06/11/2020;552
05/11/2020;552
04/11/2020;552
03/11/2020;552
02/11/2020;552
01/11/2020;552
31/10/2020;551
30/10/2020;551
29/10/2020;551
28/10/2020;551
27/10/2020;551
26/10/2020;551
25/10/2020;551
24/10/2020;551
23/10/2020;551
22/10/2020;551
21/10/2020;551
20/10/2020;551
19/10/2020;546
18/10/2020;545
17/10/2020;544
16/10/2020;543
15/10/2020;542
14/10/2020;541
13/10/2020;540
12/10/2020;539
11/10/2020;537
10/10/2020;536
09/10/2020;535
08/10/2020;531
07/10/2020;530
06/10/2020;528
05/10/2020;526
04/10/2020;525
03/10/2020;523
02/10/1900;522
01/10/2020;521
30/09/2020;520
29/09/2020;520
28/09/2020;520
27/09/2020;520
26/09/2020;520
25/09/2020;520
24/09/2020;520
23/09/2020;520
22/09/2020;520
21/09/2020;520
20/09/2020;519
19/09/2020;518
18/09/2020;516
17/09/2020;515
16/09/2020;510
15/09/2020;501
14/09/2020;497
13/09/2020;495
12/09/2020;492
11/09/2020;489
10/09/2020;480
09/09/2020;467
08/09/2020;466
07/09/2020;465
06/09/2020;462
05/09/2020;461
04/09/2020;460
03/09/2020;459
02/09/2020;458
01/09/2020;458
31/08/2020;458
30/08/2020;458
29/08/2020;458
28/08/2020;458
27/08/2020;458
26/08/2020;458
25/08/2020;458
24/08/2020;458
23/08/2020;458
22/08/2020;458
21/08/2020;458
20/08/2020;458
19/08/2020;458
18/08/2020;356
17/08/2020;356
16/08/2020;356
15/08/2020;356
14/08/2020;355
13/08/2020;354
12/08/2020;353
11/08/2020;352
10/08/2020;351
09/08/2020;351
08/08/2020;350
07/08/2020;349
06/08/2020;348
05/08/2020;347
04/08/2020;346
03/08/2020;345
02/08/1900;341
01/08/2020;341
31/07/2020;341
30/07/2020;341
29/07/2020;341
28/07/2020;341
27/07/2020;341
26/07/2020;341
25/07/2020;341
24/07/2020;341
23/07/2020;340
22/07/2020;340
21/07/2020;340
20/07/2020;340
19/07/2020;340
18/07/2020;340
17/07/2020;340
16/07/2020;339
15/07/2020;339
14/07/2020;338
13/07/2020;336
12/07/2020;335
11/07/2020;333
10/07/2020;332
09/07/2020;330
08/07/2020;329
07/07/2020;328
06/07/2020;327
05/07/2020;326
04/07/2020;325
03/07/2020;322
02/07/1900;321
01/07/2020;320
30/06/2020;171
29/06/2020;171
28/06/2020;171
27/06/2020;171
26/06/2020;171
25/06/2020;171
24/06/2020;171
23/06/2020;171
22/06/2020;171
21/06/2020;171
20/06/2020;171
19/06/2020;171
18/06/2020;171
17/06/2020;171
16/06/2020;171
15/06/2020;171
14/06/2020;171
13/06/2020;171
12/06/2020;171
11/06/2020;171
10/06/2020;171
09/06/2020;171
08/06/2020;170
07/06/2020;170
06/06/2020;169
05/06/2020;169
04/06/2020;169
03/06/2020;169
02/06/2020;169
01/06/2020;169
31/05/2020;91
30/05/2020;91
29/05/2020;91
28/05/2020;91
27/05/2020;91
26/05/2020;91
25/05/2020;91
24/05/2020;91
23/05/2020;91
22/05/2020;91
21/05/2020;91
20/05/2020;91
19/05/2020;91
18/05/2020;91
17/05/2020;91
16/05/2020;91
15/05/2020;91
14/05/2020;91
13/05/2020;91
12/05/2020;91
11/05/2020;91
10/05/2020;91
09/05/2020;91
08/05/2020;91
07/05/2020;91
06/05/2020;91
05/05/2020;91
04/05/2020;90
03/05/2020;89
02/05/1900;88
01/05/2020;87
30/04/2020;40
29/04/2020;40
28/04/2020;40
27/04/2020;40
26/04/2020;40
25/04/2020;40
24/04/2020;40
23/04/2020;40
22/04/2020;40
21/04/2020;40
20/04/2020;40
19/04/2020;40
18/04/2020;40
17/04/2020;40
16/04/2020;40
15/04/2020;40
14/04/2020;40
13/04/2020;40
12/04/2020;40
11/04/2020;35
10/04/2020;32
09/04/2020;27
08/04/2020;26
07/04/2020;25
06/04/2020;10
05/04/2020;9
04/04/2020;5
03/04/2020;4
02/04/2020;1
01/04/2020;1
31/03/2020;1
30/03/2020;1
29/03/2020;1
28/03/2020;1
27/03/2020;1
26/03/2020;1
25/03/2020;1
24/03/2020;1
23/03/2020;1
22/03/2020;1
21/03/2020;1
20/03/2020;1
19/03/2020;1
18/03/2020;1
17/03/2020;1
16/03/2020;1
15/03/2020;1
14/03/2020;1
13/03/2020;1
