Fecha,Contagiados,Muertos,Fallecidos Probables,,,
1/28/2021,5382,246,56,,,
1/27/2021,5363,246,56,,,
1/26/2021,5361,246,56,,,
1/25/2021,5361,246,56,,,
1/24/2021,5361,246,56,,,
1/23/2021,5287,246,56,,,
1/22/2021,5271,246,56,,,
1/21/2021,5253,245,56,,,
1/20/2021,5239,243,55,,,
1/19/2021,5238,243,55,,,
1/18/2021,5235,242,55,,,
1/17/2021,5235,242,55,,,
1/16/2021,5205,242,55,,,
1/15/2021,5193,242,55,,,
1/14/2021,5193,242,55,,,
1/13/2021,5167,242,55,,,
1/12/2021,5140,242,55,,,
1/11/2021,5131,242,55,,,
1/10/2021,5130,242,55,,,
1/9/2021,5107,242,55,,,
1/8/2021,5104,242,55,,,
1/7/2021,5102,242,55,,,
1/6/2021,5084,241,55,,,
1/5/2021,5076,241,55,,,
1/4/2021,5060,241,55,,,
1/3/2021,5060,241,55,,,
1/2/2021,5061,241,55,,,
1/1/2021,5048,241,55,,,
Dec-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
12/31/2020,5044,241,55,,,
12/30/2020,5039,239,54,,,
12/29/2020,5023,239,54,,,
12/28/2020,5021,239,54,,,
12/27/2020,5017,239,54,,,
12/26/2020,5017,239,54,,,
12/25/2020,5017,239,54,,,
12/24/2020,5008,239,54,,,
12/23/2020,5003,237,54,,,
12/22/2020,5001,237,54,,,
12/21/2020,5001,237,54,,,
12/20/2020,5000,237,54,,,
12/19/2020,4996,237,54,,,
12/18/2020,4983,237,54,,,
12/17/2020,4977,237,54,,,
12/16/2020,4958,237,54,,,
12/15/2020,4935,237,54,,,
12/14/2020,4935,237,54,,,
12/13/2020,4935,237,54,,,
12/12/2020,4921,237,54,,,
12/11/2020,4913,236,53,,,
12/10/2020,4907,236,53,,,
12/9/2020,4898,236,53,,,
12/8/2020,4897,236,53,,,
12/7/2020,4893,236,53,,,
12/6/2020,4873,236,53,,,
12/5/2020,4866,234,53,,,
12/4/2020,4861,225,53,,,
12/3/2020,4851,222,53,,,
12/2/2020,4846,222,53,,,
12/1/2020,4846,222,53,,,
Nov-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
11/30/2020,4845,222,53,,,
11/29/2020,4845,222,53,,,
11/28/2020,4820,222,53,,,
11/27/2020,4780,222,53,,,
11/26/2020,4579,222,53,,,
11/25/2020,4562,222,53,,,
11/24/2020,4559,222,53,,,
11/23/2020,4557,222,53,,,
11/22/2020,4557,222,53,,,
11/21/2020,4556,222,53,,,
11/20/2020,4553,222,52,,,
11/19/2020,4551,222,52,,,
11/18/2020,4545,221,52,,,
11/17/2020,4524,221,52,,,
11/16/2020,4518,221,52,,,
11/15/2020,4512,221,52,,,
11/14/2020,4512,221,52,,,
11/13/2020,4499,219,52,,,
11/12/2020,4490,219,52,,,
11/11/2020,4450,219,52,,,
11/10/2020,4429,218,52,,,
11/9/2020,4415,218,52,,,
11/8/2020,4412,218,52,,,
11/7/2020,4355,218,52,,,
11/6/2020,4324,218,51,,,
11/5/2020,4302,216,51,,,
11/4/2020,4294,216,51,,,
11/3/2020,4290,216,51,,,
11/2/2020,4280,216,51,,,
11/1/2020,4271,216,51,,,
Oct-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
10/31/2020,4226,216,52,,,
10/30/2020,4212,216,52,,,
10/29/2020,4202,215,52,,,
10/28/2020,4195,216,52,,,
10/27/2020,4173,216,52,,,
10/26/2020,4160,216,52,,,
10/25/2020,4159,216,52,,,
10/24/2020,4149,214,52,,,
10/23/2020,4144,214,52,,,
10/22/2020,4098,214,52,,,
10/21/2020,4091,214,52,,,
10/20/2020,4059,209,52,,,
10/19/2020,4051,207,52,,,
10/18/2020,4050,207,52,,,
10/17/2020,4018,207,52,,,
10/16/2020,3950,207,52,,,
10/15/2020,3946,207,52,,,
10/14/2020,3891,207,51,,,
10/13/2020,3866,207,51,,,
10/12/2020,3864,207,51,,,
