PORTE DE COVID-19 ECUADOR,,,,,,,,
,Esmeraldas,"643,654",,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,Jonathan Medina,,,
1/28/2021,4104,366,125,,,,,
1/27/2021,4103,366,125,,,,,
1/26/2021,4083,366,125,,,,,
1/25/2021,4076,366,125,,,,,
1/24/2021,4074,366,124,  ,,,,
1/23/2021,3918,366,124,,,,,
1/22/2021,3912,366,124,,,,,
1/21/2021,3885,366,124,,,,,
1/20/2021,3841,365,124,,,,,
1/19/2021,3827,363,124,,,,,
1/18/2021,3816,361,124,,,,,
1/17/2021,3815,361,124,,,,,
1/16/2021,3763,361,124,,,,,
1/15/2021,3631,360,124,,,,,
1/14/2021,3619,360,124,,,,,
1/13/2021,3549,360,124,,,,,
1/12/2021,3530,358,124,,,,,
1/11/2021,3510,357,124,,,,,
1/10/2021,3505,357,124,,,,,
1/9/2021,3466,357,124,,,,,
1/8/2021,3422,357,124,,,,,
1/7/2021,3417,357,124,,,,,
1/6/2021,3393,354,124,,,,,
1/5/2021,3358,354,124,,,,,
1/4/2021,3314,354,124,,,,,
1/3/2021,3287,345,124,,,,,
1/2/2021,3284,345,124,,,,,
1/1/2021,3260,345,124,,,,,
Dec-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
12/31/2020,3253,344,124,,,,,
12/30/2020,3253,344,124,,,,,
12/29/2020,3221,344,124,,,,,
12/28/2020,3198,344,124,,,,,
12/27/2020,3178,344,124,,,,,
12/26/2020,3175,344,124,,,,,
12/25/2020,3164,344,124,,,,,
12/24/2020,3144,344,124,,,,,
12/23/2020,3102,344,124,,,,,
12/22/2020,3083,344,124,,,,,
12/21/2020,3083,344,124,,,,,
12/20/2020,3080,344,124,,,,,
12/19/2020,3066,344,124,,,,,
12/18/2020,3056,344,124,,,,,
12/17/2020,3028,344,124,,,,,
12/16/2020,3011,344,124,,,,,
12/15/2020,2990,344,123,,,,,
12/14/2020,2986,344,123,,,,,
12/13/2020,2978,344,123,,,,,
12/12/2020,2969,344,123,,,,,
12/11/2020,2949,342,123,,,,,
12/10/2020,2941,342,123,,,,,
12/9/2020,2926,341,121,,,,,
12/8/2020,2923,340,120,,,,,
12/7/2020,2920,340,120,,,,,
12/6/2020,2919,340,120,,,,,
12/5/2020,2907,340,120,,,,,
12/4/2020,2878,340,120,,,,,
12/3/2020,2876,336,120,,,,,
12/2/2020,2864,336,120,,,,,
12/1/2020,2852,335,120,,,,,
Nov-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
11/30/2020,2845,335,120,,,,,
11/29/2020,2840,335,120,,,,,
11/28/2020,2837,335,120,,,,,
11/27/2020,2807,334,120,,,,,
11/26/2020,2785,332,120,,,,,
11/25/2020,2765,332,120,,,,,
11/24/2020,2757,332,120,,,,,
11/23/2020,2752,332,120,,,,,
11/22/2020,2748,332,120,,,,,
11/21/2020,2732,332,120,,,,,
11/20/2020,2715,331,120,,,,,
11/19/2020,2689,329,119,,,,,
11/18/2020,2673,239,119,,,,,
11/17/2020,2656,329,119,,,,,
11/16/2020,2655,329,119,,,,,
11/15/2020,2650,329,118,,,,,
11/14/2020,2648,329,118,,,,,
11/13/2020,2642,325,119,,,,,
11/12/2020,2625,324,120,,,,,
11/11/2020,2601,323,120,,,,,
11/10/2020,2595,318,120,,,,,
11/9/2020,2586,318,120,,,,,
11/8/2020,2586,318,120,,,,,
11/7/2020,2569,318,120,,,,,
11/6/2020,2560,318,119,,,,,
11/5/2020,2557,318,119,,,,,
11/4/2020,2552,315,119,,,,,
11/3/2020,2536,315,119,,,,,
11/2/2020,2532,315,119,,,,,
11/1/2020,2516,315,119,,,,,
Oct-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
