PORTE DE COVID-19 ECUADOR,,,,,,
,El oro,"231,260",,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
1/28/2021,10162,625,230,,,
1/27/2021,10078,624,230,,,
1/26/2021,10067,622,213,,,
1/25/2021,10023,615,213,,,
1/24/2021,10011,610,213,,,
1/23/2021,9872,605,213,,,
1/22/2021,9830,602,213,,,
1/21/2021,9678,598,213,,,
1/20/2021,9648,594,211,,,
1/19/2021,9584,594,211,,,
1/18/2021,9478,585,211,,,
1/17/2021,9411,585,211,,,
1/16/2021,9425,585,211,,,
1/15/2021,9321,584,211,,,
1/14/2021,9235,583,211,,,
1/13/2021,9144,583,211,,,
1/12/2021,9048,582,211,,,
1/11/2021,8999,577,209,,,
1/10/2021,8872,577,209,,,
1/9/2021,8769,577,209,,,
1/8/2021,8680,577,209,,,
1/7/2021,8613,577,208,,,
1/6/2021,8547,576,208,,,
1/5/2021,8500,574,208,,,
1/4/2021,8452,573,208,,,
1/3/2021,8438,571,208,,,
1/2/2021,8435,572,208,,,
1/1/2021,8343,571,208,,,
Dec-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
12/31/2020,8323,569,207,,,
12/30/2020,8297,569,202,,,
12/29/2020,8213,566,202,,,
12/28/2020,8199,565,201,,,
12/27/2020,8153,564,201,,,
12/26/2020,8153,645,199,,,
12/25/2020,8147,564,199,,,
12/24/2020,8084,564,199,,,
12/23/2020,8040,561,199,,,
12/22/2020,7998,561,199,,,
12/21/2020,7998,561,199,,,
12/20/2020,7985,561,199,,,
12/19/2020,7938,561,199,,,
12/18/2020,7901,560,199,,,
12/17/2020,7819,559,199,,,
12/16/2020,7780,555,199,,,
12/15/2020,7748,553,199,,,
12/14/2020,7732,553,199,,,
12/13/2020,7730,553,199,,,
12/12/2020,7691,553,199,,,
12/11/2020,7652,553,199,,,
12/10/2020,7620,553,198,,,
12/9/2020,7566,553,198,,,
12/8/2020,7560,553,197,,,
12/7/2020,7549,553,197,,,
12/6/2020,7541,553,197,,,
12/5/2020,7502,553,190,,,
12/4/2020,7462,551,193,,,
12/3/2020,7418,551,193,,,
12/2/2020,7398,548,193,,,
12/1/2020,7390,548,193,,,
Nov-20,,,,,,
